 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                he4           c12           o16           ne20          mg24          si28          s32           ar36 
      1  0.000000000000E+00  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  3.200000E-29  3.600000E-29
      2  3.189849763807E-19  1.356662E-06  9.999919E-01  1.475416E-14  6.783307E-06  3.808333E-18  9.293715E-22  3.200010E-29  3.600000E-29
      3  7.284980112780E-19  3.098313E-06  9.999814E-01  7.695295E-14  1.549156E-05  4.536312E-17  1.107022E-20  3.200651E-29  3.600000E-29
      4  1.415009488652E-18  6.017952E-06  9.999639E-01  2.903207E-13  3.008974E-05  3.324183E-16  8.112163E-20  3.217989E-29  3.600000E-29
      5  2.125615153299E-18  9.039952E-06  9.999458E-01  6.551174E-13  4.519973E-05  1.126807E-15  2.749790E-19  3.337600E-29  3.600000E-29
      6  2.837857506092E-18  1.206880E-05  9.999276E-01  1.167674E-12  6.034398E-05  2.681365E-15  6.543413E-19  3.783620E-29  3.600000E-29
      7  3.550267053028E-18  1.509825E-05  9.999094E-01  1.827481E-12  7.549122E-05  5.249960E-15  1.281158E-18  4.988400E-29  3.600000E-29
      8  4.262679029710E-18  1.812760E-05  9.998912E-01  2.634429E-12  9.063797E-05  9.086770E-15  2.217453E-18  7.662267E-29  3.600000E-29
      9  4.975129789256E-18  2.115701E-05  9.998731E-01  3.588563E-12  1.057850E-04  1.444653E-14  3.525388E-18  1.286378E-28  3.600000E-29
     10  5.687631324920E-18  2.418652E-05  9.998549E-01  4.689917E-12  1.209325E-04  2.158407E-14  5.267142E-18  2.206970E-28  3.600000E-29
     11  6.400268201875E-18  2.721650E-05  9.998367E-01  5.938669E-12  1.360824E-04  3.075546E-14  7.505200E-18  3.724720E-28  3.600000E-29
     12  7.112871198883E-18  3.024622E-05  9.998185E-01  7.334544E-12  1.512310E-04  4.221348E-14  1.030124E-17  6.091625E-28  3.600000E-29
     13  7.825480659565E-18  3.327586E-05  9.998003E-01  8.877604E-12  1.663792E-04  5.621317E-14  1.371750E-17  9.622748E-28  3.600000E-29
     14  8.538071789095E-18  3.630532E-05  9.997822E-01  1.056778E-11  1.815265E-04  7.300844E-14  1.781593E-17  1.470262E-27  3.600000E-29
     15  9.250588964756E-18  3.933434E-05  9.997640E-01  1.240490E-11  1.966716E-04  9.285184E-14  2.265814E-17  2.179181E-27  3.600000E-29
     16  9.963291105266E-18  4.236405E-05  9.997458E-01  1.438967E-11  2.118201E-04  1.160057E-13  2.830816E-17  3.143850E-27  3.600000E-29
     17  1.067594293696E-17  4.539343E-05  9.997276E-01  1.652145E-11  2.269670E-04  1.427179E-13  3.482644E-17  4.427604E-27  3.600000E-29
     18  1.139603245599E-17  4.845431E-05  9.997093E-01  1.882493E-11  2.422714E-04  1.735838E-13  4.235829E-17  6.123698E-27  3.600000E-29
     19  1.215060542363E-17  5.166165E-05  9.996900E-01  2.139990E-11  2.583081E-04  2.103924E-13  5.134020E-17  8.425467E-27  3.600000E-29
     20  1.294700349711E-17  5.504664E-05  9.996697E-01  2.429651E-11  2.752331E-04  2.545256E-13  6.210939E-17  1.156066E-26  3.600000E-29
     21  1.378830221711E-17  5.862232E-05  9.996483E-01  2.755597E-11  2.931115E-04  3.074275E-13  7.501821E-17  1.582506E-26  3.600000E-29
     22  1.467648601821E-17  6.239711E-05  9.996256E-01  3.121953E-11  3.119854E-04  3.707340E-13  9.046585E-17  2.160952E-26  3.600001E-29
     23  1.561392346581E-17  6.638104E-05  9.996017E-01  3.533408E-11  3.319050E-04  4.463930E-13  1.089276E-16  2.943751E-26  3.600001E-29
     24  1.660213996417E-17  7.058056E-05  9.995765E-01  3.994704E-11  3.529026E-04  5.366088E-13  1.309411E-16  3.999565E-26  3.600002E-29
     25  1.764422757123E-17  7.500879E-05  9.995499E-01  4.511779E-11  3.750437E-04  6.441054E-13  1.571713E-16  5.421126E-26  3.600002E-29
     26  1.874236990614E-17  7.967496E-05  9.995220E-01  5.090693E-11  3.983746E-04  7.719783E-13  1.883733E-16  7.330029E-26  3.600004E-29
     27  1.989890036030E-17  8.458894E-05  9.994925E-01  5.738133E-11  4.229445E-04  9.238478E-13  2.254303E-16  9.886711E-26  3.600006E-29
     28  2.111648929537E-17  8.976205E-05  9.994614E-01  6.461593E-11  4.488100E-04  1.103974E-12  2.693820E-16  1.330301E-25  3.600008E-29
     29  2.239812732653E-17  9.520692E-05  9.994288E-01  7.269465E-11  4.760344E-04  1.317373E-12  3.214518E-16  1.785840E-25  3.600013E-29
     30  2.374598530524E-17  1.009327E-04  9.993944E-01  8.170364E-11  5.046635E-04  1.569722E-12  3.830253E-16  2.391570E-25  3.600019E-29
     31  2.516310217108E-17  1.069524E-04  9.993583E-01  9.174248E-11  5.347616E-04  1.867765E-12  4.557476E-16  3.195248E-25  3.600029E-29
     32  3.187954782754E-17  1.354765E-04  9.991871E-01  1.472234E-10  6.773822E-04  3.797164E-12  9.265107E-16  1.042449E-24  3.600150E-29
     33  9.904400439214E-17  4.201812E-04  9.974789E-01  1.418119E-09  2.100906E-03  1.135904E-10  2.771328E-14  3.006600E-22  4.017499E-29
     34  7.706885700382E-16  3.214565E-03  9.807124E-01  8.412513E-08  1.607289E-02  5.222965E-08  1.292496E-11  8.369761E-18  6.945902E-24
     35  5.946943305213E-15  2.195607E-02  8.682358E-01  4.318938E-06  1.097837E-01  2.010226E-05  9.757703E-09  3.005662E-13  1.249130E-17
     36  2.034232549379E-14  5.685696E-02  6.582638E-01  3.582757E-05  2.843114E-01  5.306636E-04  1.431157E-06  3.721553E-10  1.331746E-13
     37  4.931779532134E-14  9.216190E-02  4.427197E-01  1.267649E-04  4.609173E-01  4.027958E-03  4.631017E-05  5.245805E-08  8.111803E-11
     38  8.686453927394E-14  1.126905E-01  3.108068E-01  2.470492E-04  5.638052E-01  1.211468E-02  3.348716E-04  9.030912E-07  3.302264E-09
     39  1.838918873023E-13  1.296227E-01  1.755571E-01  5.126808E-04  6.505687E-01  4.045971E-02  3.253990E-03  2.492257E-05  2.564401E-07
     40  3.024360768707E-13  1.312957E-01  1.145857E-01  7.704549E-04  6.650611E-01  7.636200E-02  1.175353E-02  1.682654E-04  3.216442E-06
     41  5.924527420508E-13  1.175991E-01  6.190988E-02  1.244587E-03  6.247390E-01  1.435650E-01  4.937421E-02  1.506067E-03  6.080793E-05
     42  9.497472795872E-13  9.571147E-02  3.950061E-02  1.677827E-03  5.613250E-01  1.886206E-01  1.076307E-01  5.192982E-03  3.294457E-04
     43  1.705660054148E-12  5.871500E-02  2.235277E-02  2.351892E-03  4.663761E-01  2.192652E-01  2.129742E-01  1.625836E-02  1.618424E-03
     44  2.776220950995E-12  2.917676E-02  1.383454E-02  3.071657E-03  3.991345E-01  2.222202E-01  2.987163E-01  2.973654E-02  3.837344E-03
     45  5.132479398787E-12  6.717604E-03  7.515106E-03  4.369582E-03  3.515034E-01  2.162705E-01  3.634125E-01  4.307067E-02  6.583462E-03
     46  8.128759522623E-12  1.311268E-03  4.740049E-03  5.893337E-03  3.389860E-01  2.138066E-01  3.801281E-01  4.700043E-02  7.472355E-03
     47  1.423927198868E-11  2.910930E-04  2.675481E-03  8.933752E-03  3.323272E-01  2.129135E-01  3.860497E-01  4.835860E-02  7.750541E-03
     48  2.089769464950E-11  2.338207E-04  1.784379E-03  1.219176E-02  3.266461E-01  2.124632E-01  3.890998E-01  4.900655E-02  7.855603E-03
     49  2.939128347641E-11  2.169954E-04  1.220511E-03  1.625591E-02  3.194026E-01  2.119097E-01  3.925565E-01  4.973250E-02  7.965448E-03
     50  5.080904399118E-11  2.031274E-04  6.077542E-04  2.600429E-02  3.016352E-01  2.103732E-01  4.007180E-01  5.145350E-02  8.215075E-03
     51  7.462414108269E-11  1.964332E-04  3.226757E-04  3.595469E-02  2.830290E-01  2.083725E-01  4.094744E-01  5.332684E-02  8.479540E-03
     52  1.055873918370E-10  1.911071E-04  1.476955E-04  4.743874E-02  2.606468E-01  2.053447E-01  4.207210E-01  5.577697E-02  8.818940E-03
     53  1.790525872829E-10  1.840175E-04  2.927621E-05  6.812989E-02  2.147299E-01  1.966879E-01  4.476877E-01  6.182825E-02  9.640028E-03
     54  2.530569182727E-10  1.788023E-04  1.747803E-05  8.062671E-02  1.769649E-01  1.866550E-01  4.754697E-01  6.831223E-02  1.051517E-02
     55  2.723891822102E-10  1.773078E-04  1.709538E-05  8.275652E-02  1.682918E-01  1.839128E-01  4.827312E-01  7.005424E-02  1.075169E-02
     56  2.906075365440E-10  1.758047E-04  1.693289E-05  8.440287E-02  1.605263E-01  1.813028E-01  4.895388E-01  7.170720E-02  1.097691E-02
     57  3.305686040294E-10  1.721608E-04  1.682465E-05  8.694410E-02  1.447865E-01  1.755316E-01  5.042665E-01  7.535351E-02  1.147659E-02
     58  4.113199786976E-10  1.634638E-04  1.680756E-05  8.862829E-02  1.177729E-01  1.639388E-01  5.326523E-01  8.268024E-02  1.249065E-02
     59  4.331739960389E-10  1.608703E-04  1.680743E-05  8.849752E-02  1.114294E-01  1.608681E-01  5.399273E-01  8.462667E-02  1.276136E-02
     60  4.538639031984E-10  1.583489E-04  1.680716E-05  8.820119E-02  1.057621E-01  1.580005E-01  5.466348E-01  8.644745E-02  1.301465E-02
     61  4.994568666177E-10  1.526334E-04  1.680574E-05  8.706848E-02  9.434295E-02  1.518403E-01  5.607715E-01  9.036947E-02  1.355909E-02
     62  5.924791265927E-10  1.407511E-04  1.679969E-05  8.338311E-02  7.497959E-02  1.400713E-01  5.868116E-01  9.790147E-02  1.458940E-02
     63  6.185425936609E-10  1.374611E-04  1.679742E-05  8.214613E-02  7.036354E-02  1.369834E-01  5.934465E-01  9.988432E-02  1.485438E-02
     64  6.430727198726E-10  1.344051E-04  1.679509E-05  8.093267E-02  6.630062E-02  1.341634E-01  5.994381E-01  1.016965E-01  1.509319E-02
     65  6.968852618443E-10  1.278816E-04  1.678942E-05  7.816084E-02  5.825429E-02  1.282688E-01  6.117615E-01  1.054854E-01  1.557938E-02
     66  7.432552180257E-10  1.225014E-04  1.678401E-05  7.571019E-02  5.216993E-02  1.235053E-01  6.215321E-01  1.085433E-01  1.595537E-02
     67  8.372073078406E-10  1.123976E-04  1.677183E-05  7.074765E-02  4.185379E-02  1.147038E-01  6.391790E-01  1.141615E-01  1.659348E-02
     68  8.841810430158E-10  1.077710E-04  1.676521E-05  6.832383E-02  3.754505E-02  1.107014E-01  6.470453E-01  1.166908E-01  1.685155E-02
     69  9.788789967439E-10  9.930950E-05  1.675097E-05  6.363579E-02  3.024656E-02  1.033587E-01  6.612532E-01  1.212593E-01  1.725539E-02
     70  1.028862454509E-09  9.529509E-05  1.674302E-05  6.128689E-02  2.702439E-02  9.983846E-02  6.679753E-01  1.234030E-01  1.741015E-02
     71  1.131618172749E-09  8.795469E-05  1.672584E-05  5.675259E-02  2.150076E-02  9.327759E-02  6.803801E-01  1.272825E-01  1.761581E-02
     72  1.186128639979E-09  8.452163E-05  1.671631E-05  5.450946E-02  1.907342E-02  9.012626E-02  6.862934E-01  1.290767E-01  1.767033E-02
     73  1.301833451019E-09  7.817424E-05  1.669520E-05  5.010932E-02  1.483892E-02  8.408547E-02  6.975771E-01  1.323490E-01  1.768135E-02
     74  1.362410546758E-09  7.530683E-05  1.668370E-05  4.799205E-02  1.303315E-02  8.123126E-02  7.028963E-01  1.338015E-01  1.763933E-02
     75  1.499924508232E-09  6.978674E-05  1.665656E-05  4.362199E-02  9.747822E-03  7.541210E-02  7.137466E-01  1.365275E-01  1.745034E-02
     76  1.523673103856E-09  6.895674E-05  1.665174E-05  4.292451E-02  9.276204E-03  7.448919E-02  7.154706E-01  1.369264E-01  1.740705E-02
     77  1.548407159416E-09  6.812711E-05  1.664667E-05  4.221494E-02  8.810824E-03  7.355118E-02  7.172242E-01  1.373214E-01  1.735922E-02
     78  1.618819245835E-09  6.594731E-05  1.663202E-05  4.028535E-02  7.617531E-03  7.100255E-02  7.219978E-01  1.383384E-01  1.720967E-02
     79  1.783602661002E-09  6.175705E-05  1.659655E-05  3.624756E-02  5.450975E-03  6.565484E-02  7.320708E-01  1.401735E-01  1.680323E-02
     80  1.806070460500E-09  6.127097E-05  1.659159E-05  3.574434E-02  5.211310E-03  6.498447E-02  7.333401E-01  1.403721E-01  1.674365E-02
     81  1.834257184686E-09  6.068667E-05  1.658533E-05  3.512789E-02  4.926646E-03  6.416139E-02  7.349010E-01  1.406057E-01  1.666796E-02
     82  1.894876694067E-09  5.952020E-05  1.657172E-05  3.385590E-02  4.369991E-03  6.245539E-02  7.381447E-01  1.410525E-01  1.650244E-02
     83  1.956223077554E-09  5.845467E-05  1.655776E-05  3.263949E-02  3.875744E-03  6.081216E-02  7.412804E-01  1.414338E-01  1.633245E-02
     84  2.096811856442E-09  5.638790E-05  1.652511E-05  3.009634E-02  2.959500E-03  5.732767E-02  7.479694E-01  1.420739E-01  1.594078E-02
     85  2.125293292763E-09  5.602484E-05  1.651839E-05  2.961930E-02  2.804843E-03  5.666499E-02  7.492478E-01  1.421688E-01  1.586197E-02
     86  2.147664241022E-09  5.575142E-05  1.651309E-05  2.925301E-02  2.689706E-03  5.615392E-02  7.502351E-01  1.422360E-01  1.580034E-02
     87  2.225435834200E-09  5.487559E-05  1.649451E-05  2.803462E-02  2.328999E-03  5.443855E-02  7.535581E-01  1.424226E-01  1.558853E-02
     88  2.415237247315E-09  5.315213E-05  1.644831E-05  2.538514E-02  1.659194E-03  5.061130E-02  7.610217E-01  1.426192E-01  1.509357E-02
     89  2.442583637179E-09  5.294467E-05  1.644156E-05  2.503753E-02  1.582565E-03  5.009760E-02  7.620287E-01  1.426222E-01  1.502537E-02
     90  2.473989154347E-09  5.271740E-05  1.643378E-05  2.464803E-02  1.499704E-03  4.951838E-02  7.631654E-01  1.426189E-01  1.494813E-02
     91  2.544786159009E-09  5.224513E-05  1.641617E-05  2.380641E-02  1.331317E-03  4.825306E-02  7.656537E-01  1.425872E-01  1.477832E-02
     92  2.624298262364E-09  5.177451E-05  1.639624E-05  2.291769E-02  1.168953E-03  4.689494E-02  7.683320E-01  1.425159E-01  1.459499E-02
     93  2.835869010216E-09  5.077518E-05  1.634264E-05  2.081074E-02  8.443430E-04  4.357230E-02  7.749142E-01  1.421816E-01  1.414625E-02
     94  2.867713962127E-09  5.065138E-05  1.633451E-05  2.052271E-02  8.062422E-04  4.310559E-02  7.758418E-01  1.421168E-01  1.408362E-02
     95  2.895488441437E-09  5.054829E-05  1.632741E-05  2.027716E-02  7.749008E-04  4.270515E-02  7.766383E-01  1.420579E-01  1.403003E-02
     96  2.930607443791E-09  5.042414E-05  1.631842E-05  1.997403E-02  7.376310E-04  4.220744E-02  7.776288E-01  1.419803E-01  1.396363E-02
     97  2.956830440270E-09  5.033574E-05  1.631170E-05  1.975287E-02  7.114168E-04  4.184193E-02  7.783568E-01  1.419203E-01  1.391504E-02
     98  3.102404593124E-09  4.990493E-05  1.627428E-05  1.860058E-02  5.877027E-04  3.990335E-02  7.822233E-01  1.415601E-01  1.366023E-02
     99  3.139516126598E-09  4.980966E-05  1.626471E-05  1.832596E-02  5.612836E-04  3.943246E-02  7.831638E-01  1.414623E-01  1.359921E-02
    100  3.166242764716E-09  4.974432E-05  1.625782E-05  1.813268E-02  5.433693E-04  3.909892E-02  7.838302E-01  1.413907E-01  1.355622E-02
    101  3.300036825337E-09  4.945451E-05  1.622327E-05  1.721839E-02  4.659415E-04  3.749637E-02  7.870349E-01  1.410199E-01  1.335265E-02
    102  3.395478493088E-09  4.928108E-05  1.619860E-05  1.661629E-02  4.212117E-04  3.641784E-02  7.891936E-01  1.407467E-01  1.321874E-02
    103  3.472843195480E-09  4.915792E-05  1.617861E-05  1.615609E-02  3.901562E-04  3.558054E-02  7.908702E-01  1.405222E-01  1.311667E-02
    104  3.688090852117E-09  4.888305E-05  1.612304E-05  1.499255E-02  3.227344E-04  3.341182E-02  7.952135E-01  1.398946E-01  1.286080E-02
    105  3.801951788869E-09  4.877078E-05  1.609372E-05  1.443876E-02  2.957065E-04  3.235290E-02  7.973335E-01  1.395662E-01  1.274068E-02
    106  4.143861661358E-09  4.853436E-05  1.600618E-05  1.298786E-02  2.379327E-04  2.949681E-02  8.030430E-01  1.386221E-01  1.243397E-02
    107  4.359361658383E-09  4.844275E-05  1.595153E-05  1.220947E-02  2.133974E-04  2.791791E-02  8.061896E-01  1.380724E-01  1.227599E-02
    108  4.405453174908E-09  4.842752E-05  1.593989E-05  1.205458E-02  2.089594E-04  2.760018E-02  8.068216E-01  1.379602E-01  1.224524E-02
    109  4.438071215090E-09  4.841757E-05  1.593168E-05  1.194725E-02  2.059628E-04  2.737937E-02  8.072605E-01  1.378819E-01  1.222409E-02
    110  4.573959786929E-09  4.838278E-05  1.589756E-05  1.151943E-02  1.946168E-04  2.649425E-02  8.090175E-01  1.375667E-01  1.214106E-02
    111  4.685678425559E-09  4.836136E-05  1.586967E-05  1.118946E-02  1.864647E-04  2.580669E-02  8.103793E-01  1.373208E-01  1.207856E-02
    112  5.004810173122E-09  4.832862E-05  1.579077E-05  1.034133E-02  1.675157E-04  2.402452E-02  8.138931E-01  1.366851E-01  1.192503E-02
    113  5.092002201503E-09  4.832565E-05  1.576943E-05  1.013114E-02  1.631971E-04  2.358072E-02  8.147639E-01  1.365285E-01  1.188879E-02
    114  5.168825561346E-09  4.832478E-05  1.575069E-05  9.952788E-03  1.596329E-04  2.320388E-02  8.155017E-01  1.363965E-01  1.185867E-02
    115  5.366232683558E-09  4.832911E-05  1.570289E-05  9.521679E-03  1.513578E-04  2.229314E-02  8.172781E-01  1.360824E-01  1.178847E-02
    116  5.498080528529E-09  4.833653E-05  1.567122E-05  9.253709E-03  1.464302E-04  2.172820E-02  8.183746E-01  1.358921E-01  1.174684E-02
    117  5.850428947813E-09  4.837024E-05  1.558764E-05  8.605741E-03  1.350904E-04  2.037180E-02  8.209867E-01  1.354559E-01  1.165352E-02
    118  5.949940591055E-09  4.838272E-05  1.556431E-05  8.438711E-03  1.322835E-04  2.002565E-02  8.216477E-01  1.353506E-01  1.163134E-02
    119  6.042838855202E-09  4.839534E-05  1.554264E-05  8.288484E-03  1.297958E-04  1.971600E-02  8.222368E-01  1.352591E-01  1.161213E-02
    120  6.290909439284E-09  4.843293E-05  1.548529E-05  7.912184E-03  1.237100E-04  1.894885E-02  8.236859E-01  1.350447E-01  1.156726E-02
    121  6.386847030388E-09  4.844877E-05  1.546330E-05  7.775608E-03  1.215509E-04  1.867398E-02  8.242011E-01  1.349729E-01  1.155222E-02
    122  6.477157093710E-09  4.846425E-05  1.544271E-05  7.651264E-03  1.196078E-04  1.842562E-02  8.246645E-01  1.349107E-01  1.153915E-02
    123  6.721946556922E-09  4.850857E-05  1.538738E-05  7.333324E-03  1.147368E-04  1.779999E-02  8.258221E-01  1.347665E-01  1.150860E-02
    124  6.822190317316E-09  4.852758E-05  1.536493E-05  7.210605E-03  1.128945E-04  1.756256E-02  8.262572E-01  1.347173E-01  1.149799E-02
    125  6.918812310754E-09  4.854630E-05  1.534340E-05  7.096142E-03  1.111955E-04  1.734336E-02  8.266567E-01  1.346748E-01  1.148873E-02
    126  7.186487155784E-09  4.859987E-05  1.528433E-05  6.797227E-03  1.068493E-04  1.678227E-02  8.276678E-01  1.345812E-01  1.146761E-02
    127  7.289276197629E-09  4.862100E-05  1.526187E-05  6.689040E-03  1.053096E-04  1.658362E-02  8.280213E-01  1.345540E-01  1.146113E-02
    128  7.390454154499E-09  4.864204E-05  1.523988E-05  6.585872E-03  1.038586E-04  1.639656E-02  8.283518E-01  1.345316E-01  1.145557E-02
    129  7.677450586093E-09  4.870284E-05  1.517814E-05  6.309913E-03  1.000635E-04  1.590852E-02  8.292013E-01  1.344901E-01  1.144385E-02
    130  7.784715612078E-09  4.872590E-05  1.515531E-05  6.212664E-03  9.875725E-05  1.574112E-02  8.294879E-01  1.344823E-01  1.144087E-02
    131  7.893453819735E-09  4.874942E-05  1.513229E-05  6.117122E-03  9.749048E-05  1.557914E-02  8.297625E-01  1.344783E-01  1.143857E-02
    132  8.214650104033E-09  4.881951E-05  1.506510E-05  5.851520E-03  9.405905E-05  1.514261E-02  8.304874E-01  1.344877E-01  1.143562E-02
    133  8.329239840146E-09  4.884468E-05  1.504140E-05  5.762346E-03  9.293801E-05  1.500085E-02  8.307173E-01  1.344980E-01  1.143583E-02
    134  8.452271985465E-09  4.887177E-05  1.501613E-05  5.669634E-03  9.178978E-05  1.485618E-02  8.309487E-01  1.345128E-01  1.143673E-02
    135  8.898630880934E-09  4.897026E-05  1.492585E-05  5.357455E-03  8.805900E-05  1.439041E-02  8.316668E-01  1.345948E-01  1.144519E-02
    136  9.041135063318E-09  4.900170E-05  1.489749E-05  5.265094E-03  8.699708E-05  1.425927E-02  8.318602E-01  1.346292E-01  1.144942E-02
    137  9.184579688503E-09  4.903330E-05  1.486916E-05  5.175387E-03  8.598476E-05  1.413494E-02  8.320391E-01  1.346674E-01  1.145432E-02
    138  9.600370325343E-09  4.912457E-05  1.478834E-05  4.932419E-03  8.334033E-05  1.381385E-02  8.324775E-01  1.347955E-01  1.147182E-02
    139  9.849174206703E-09  4.917884E-05  1.474087E-05  4.798094E-03  8.194141E-05  1.364648E-02  8.326894E-01  1.348827E-01  1.148431E-02
    140  1.072209106591E-08  4.936658E-05  1.457957E-05  4.382354E-03  7.790831E-05  1.317638E-02  8.331950E-01  1.352346E-01  1.153729E-02
    141  1.140811790362E-08  4.951081E-05  1.445847E-05  4.106099E-03  7.548249E-05  1.290513E-02  8.333936E-01  1.355447E-01  1.158608E-02
    142  1.322400317496E-08  4.987806E-05  1.416121E-05  3.531702E-03  7.107701E-05  1.244420E-02  8.334034E-01  1.364253E-01  1.173103E-02
    143  1.456045473986E-08  5.013622E-05  1.396321E-05  3.214086E-03  6.897282E-05  1.224237E-02  8.331372E-01  1.370824E-01  1.184363E-02
    144  1.558873749372E-08  5.032897E-05  1.382225E-05  3.013224E-03  6.773686E-05  1.212942E-02  8.328494E-01  1.375793E-01  1.193078E-02
    145  1.642229575406E-08  5.048199E-05  1.371491E-05  2.872433E-03  6.690182E-05  1.205481E-02  8.325833E-01  1.379741E-01  1.200107E-02
    146  1.851013828831E-08  5.085475E-05  1.347158E-05  2.586714E-03  6.524339E-05  1.190718E-02  8.318424E-01  1.389287E-01  1.217438E-02
    147  2.013772677396E-08  5.113683E-05  1.330520E-05  2.414276E-03  6.422937E-05  1.181379E-02  8.312255E-01  1.396407E-01  1.230628E-02
    148  2.143570539868E-08  5.135747E-05  1.318576E-05  2.300359E-03  6.353432E-05  1.174660E-02  8.307215E-01  1.401909E-01  1.240951E-02
    149  2.249913270612E-08  5.153578E-05  1.309596E-05  2.219607E-03  6.302095E-05  1.169467E-02  8.303041E-01  1.406315E-01  1.249291E-02
    150  2.316516719053E-08  5.164645E-05  1.304317E-05  2.173967E-03  6.272056E-05  1.166322E-02  8.300413E-01  1.409033E-01  1.254464E-02
    151  2.523625216776E-08  5.198615E-05  1.289460E-05  2.052270E-03  6.187046E-05  1.156938E-02  8.292205E-01  1.417300E-01  1.270336E-02
    152  2.691951996469E-08  5.225787E-05  1.278951E-05  1.971751E-03  6.125460E-05  1.149645E-02  8.285516E-01  1.423843E-01  1.283027E-02
    153  2.830569087146E-08  5.247906E-05  1.271226E-05  1.915269E-03  6.078736E-05  1.143814E-02  8.280005E-01  1.429129E-01  1.293359E-02
    154  2.918361709954E-08  5.261805E-05  1.266727E-05  1.883368E-03  6.050728E-05  1.140192E-02  8.276518E-01  1.432435E-01  1.299853E-02
    155  2.978771141272E-08  5.271322E-05  1.263796E-05  1.862964E-03  6.032095E-05  1.137728E-02  8.274120E-01  1.434692E-01  1.304302E-02
    156  3.185752910165E-08  5.303661E-05  1.254680E-05  1.801355E-03  5.971728E-05  1.129451E-02  8.265916E-01  1.442323E-01  1.319433E-02
    157  3.357619349027E-08  5.330221E-05  1.248085E-05  1.758434E-03  5.925130E-05  1.122753E-02  8.259125E-01  1.448553E-01  1.331880E-02
    158  3.468509866253E-08  5.347227E-05  1.244240E-05  1.734026E-03  5.896511E-05  1.118508E-02  8.254755E-01  1.452525E-01  1.339862E-02
    159  3.546152772048E-08  5.359076E-05  1.241722E-05  1.718276E-03  5.877078E-05  1.115570E-02  8.251701E-01  1.455286E-01  1.345429E-02
    160  3.600610671374E-08  5.367360E-05  1.240036E-05  1.707831E-03  5.863724E-05  1.113525E-02  8.249562E-01  1.457213E-01  1.349324E-02
    161  3.763493294626E-08  5.392007E-05  1.235357E-05  1.679259E-03  5.825035E-05  1.107486E-02  8.243180E-01  1.462930E-01  1.360929E-02
    162  3.878651947935E-08  5.409319E-05  1.232348E-05  1.661205E-03  5.798714E-05  1.103282E-02  8.238683E-01  1.466934E-01  1.369096E-02
    163  3.960017374034E-08  5.421497E-05  1.230358E-05  1.649394E-03  5.780585E-05  1.100343E-02  8.235513E-01  1.469744E-01  1.374849E-02
    164  4.017465643768E-08  5.430069E-05  1.229016E-05  1.641486E-03  5.768003E-05  1.098284E-02  8.233278E-01  1.471719E-01  1.378902E-02
    165  4.199151424505E-08  5.457041E-05  1.225085E-05  1.618589E-03  5.729313E-05  1.091850E-02  8.226234E-01  1.477919E-01  1.391678E-02
    166  4.330384356747E-08  5.476396E-05  1.222513E-05  1.603815E-03  5.702317E-05  1.087277E-02  8.221166E-01  1.482356E-01  1.400867E-02
    167  4.423024793489E-08  5.489998E-05  1.220818E-05  1.594164E-03  5.683697E-05  1.084084E-02  8.217599E-01  1.485467E-01  1.407336E-02
    168  4.488798918322E-08  5.499625E-05  1.219671E-05  1.587667E-03  5.670683E-05  1.081834E-02  8.215072E-01  1.487666E-01  1.411921E-02
    169  4.709747601078E-08  5.531785E-05  1.216121E-05  1.567762E-03  5.628118E-05  1.074381E-02  8.206617E-01  1.494995E-01  1.427270E-02
    170  4.863081691178E-08  5.553946E-05  1.213902E-05  1.555459E-03  5.599533E-05  1.069298E-02  8.200779E-01  1.500030E-01  1.437878E-02
    171  4.972375492791E-08  5.569667E-05  1.212427E-05  1.547339E-03  5.579592E-05  1.065719E-02  8.196634E-01  1.503594E-01  1.445419E-02
    172  5.050602084544E-08  5.580881E-05  1.211421E-05  1.541825E-03  5.565528E-05  1.063179E-02  8.193675E-01  1.506133E-01  1.450807E-02
    173  5.106624002904E-08  5.588892E-05  1.210724E-05  1.538018E-03  5.555557E-05  1.061371E-02  8.191559E-01  1.507945E-01  1.454660E-02
    174  5.280652599994E-08  5.613679E-05  1.208675E-05  1.526880E-03  5.525101E-05  1.055810E-02  8.185010E-01  1.513542E-01  1.466604E-02
    175  5.407691966080E-08  5.631678E-05  1.207280E-05  1.519341E-03  5.503331E-05  1.051804E-02  8.180250E-01  1.517598E-01  1.475298E-02
    176  5.499365209085E-08  5.644619E-05  1.206319E-05  1.514177E-03  5.487851E-05  1.048941E-02  8.176825E-01  1.520510E-01  1.481560E-02
    177  5.565154663793E-08  5.653881E-05  1.205653E-05  1.510601E-03  5.476854E-05  1.046900E-02  8.174373E-01  1.522591E-01  1.486047E-02
    178  5.788280950709E-08  5.685141E-05  1.203518E-05  1.499205E-03  5.440221E-05  1.040061E-02  8.166092E-01  1.529604E-01  1.501229E-02
    179  5.943185156396E-08  5.706709E-05  1.202138E-05  1.491878E-03  5.415357E-05  1.035388E-02  8.160374E-01  1.534430E-01  1.511735E-02
    180  6.055697446106E-08  5.722306E-05  1.201181E-05  1.486818E-03  5.397570E-05  1.032031E-02  8.156237E-01  1.537914E-01  1.519349E-02
