 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                ca40          ti44          cr48          fe52          ni56 
   3066  2.934334408042E-05  7.624779E-02  1.785943E-03  6.332379E-03  3.884518E-02  2.840254E-01
   3067  2.934987339346E-05  7.624812E-02  1.786010E-03  6.332833E-03  3.884927E-02  2.840648E-01
   3068  2.936766871905E-05  7.624901E-02  1.786194E-03  6.334071E-03  3.886042E-02  2.841721E-01
   3069  2.937308454879E-05  7.624928E-02  1.786249E-03  6.334448E-03  3.886381E-02  2.842047E-01
   3070  2.937690942846E-05  7.624948E-02  1.786289E-03  6.334714E-03  3.886621E-02  2.842278E-01
   3071  2.938838526292E-05  7.625005E-02  1.786407E-03  6.335511E-03  3.887339E-02  2.842970E-01
   3072  2.939491774356E-05  7.625037E-02  1.786474E-03  6.335965E-03  3.887748E-02  2.843363E-01
   3073  2.941272183955E-05  7.625125E-02  1.786657E-03  6.337202E-03  3.888862E-02  2.844436E-01
   3074  2.941814126522E-05  7.625151E-02  1.786712E-03  6.337578E-03  3.889201E-02  2.844762E-01
   3075  2.942196767269E-05  7.625170E-02  1.786752E-03  6.337843E-03  3.889440E-02  2.844993E-01
   3076  2.943344868503E-05  7.625226E-02  1.786869E-03  6.338640E-03  3.890158E-02  2.845684E-01
   3077  2.943998434852E-05  7.625258E-02  1.786936E-03  6.339093E-03  3.890566E-02  2.846077E-01
   3078  2.945779723784E-05  7.625345E-02  1.787119E-03  6.340327E-03  3.891679E-02  2.847149E-01
   3079  2.946322027111E-05  7.625371E-02  1.787174E-03  6.340703E-03  3.892018E-02  2.847475E-01
   3080  2.946704821393E-05  7.625389E-02  1.787213E-03  6.340968E-03  3.892257E-02  2.847705E-01
   3081  2.947853441032E-05  7.625444E-02  1.787331E-03  6.341763E-03  3.892973E-02  2.848396E-01
   3082  2.948507326159E-05  7.625476E-02  1.787398E-03  6.342216E-03  3.893381E-02  2.848789E-01
   3083  2.950289495329E-05  7.625561E-02  1.787580E-03  6.343448E-03  3.894493E-02  2.849861E-01
   3084  2.950832160280E-05  7.625586E-02  1.787635E-03  6.343823E-03  3.894831E-02  2.850187E-01
   3085  2.951215108711E-05  7.625604E-02  1.787674E-03  6.344088E-03  3.895070E-02  2.850417E-01
   3086  2.952364250489E-05  7.625659E-02  1.787791E-03  6.344882E-03  3.895786E-02  2.851107E-01
   3087  2.953018456154E-05  7.625690E-02  1.787858E-03  6.345334E-03  3.896194E-02  2.851500E-01
   3088  2.954801510849E-05  7.625773E-02  1.788039E-03  6.346564E-03  3.897304E-02  2.852570E-01
   3089  2.955344539294E-05  7.625798E-02  1.788095E-03  6.346939E-03  3.897642E-02  2.852896E-01
   3090  2.955727642932E-05  7.625816E-02  1.788133E-03  6.347203E-03  3.897881E-02  2.853126E-01
   3091  2.956877308768E-05  7.625869E-02  1.788250E-03  6.347996E-03  3.898596E-02  2.853816E-01
   3092  2.957531835998E-05  7.625900E-02  1.788317E-03  6.348447E-03  3.899003E-02  2.854209E-01
   3093  2.959315780262E-05  7.625982E-02  1.788498E-03  6.349676E-03  3.900113E-02  2.855279E-01
   3094  2.959859173752E-05  7.626007E-02  1.788553E-03  6.350050E-03  3.900451E-02  2.855604E-01
   3095  2.960242433251E-05  7.626024E-02  1.788592E-03  6.350313E-03  3.900689E-02  2.855834E-01
   3096  2.961392627090E-05  7.626077E-02  1.788708E-03  6.351105E-03  3.901403E-02  2.856524E-01
   3097  2.962047477709E-05  7.626106E-02  1.788775E-03  6.351555E-03  3.901810E-02  2.856916E-01
   3098  2.963832315393E-05  7.626187E-02  1.788955E-03  6.352782E-03  3.902918E-02  2.857985E-01
   3099  2.964376075577E-05  7.626211E-02  1.789010E-03  6.353156E-03  3.903256E-02  2.858311E-01
   3100  2.964759491909E-05  7.626229E-02  1.789049E-03  6.353419E-03  3.903494E-02  2.858540E-01
   3101  2.965910214128E-05  7.626280E-02  1.789165E-03  6.354209E-03  3.904208E-02  2.859229E-01
   3102  2.966565388562E-05  7.626309E-02  1.789231E-03  6.354659E-03  3.904614E-02  2.859621E-01
   3103  2.968351123621E-05  7.626389E-02  1.789411E-03  6.355884E-03  3.905721E-02  2.860690E-01
   3104  2.968895251978E-05  7.626413E-02  1.789466E-03  6.356257E-03  3.906059E-02  2.861016E-01
   3105  2.969278826038E-05  7.626429E-02  1.789505E-03  6.356520E-03  3.906296E-02  2.861245E-01
   3106  2.970430080121E-05  7.626480E-02  1.789621E-03  6.357309E-03  3.907010E-02  2.861933E-01
   3107  2.971085580066E-05  7.626509E-02  1.789687E-03  6.357758E-03  3.907415E-02  2.862325E-01
   3108  2.972872211628E-05  7.626586E-02  1.789866E-03  6.358981E-03  3.908522E-02  2.863393E-01
   3109  2.973416708753E-05  7.626610E-02  1.789921E-03  6.359354E-03  3.908858E-02  2.863719E-01
   3110  2.973800441146E-05  7.626627E-02  1.789959E-03  6.359616E-03  3.909096E-02  2.863948E-01
   3111  2.974952229666E-05  7.626676E-02  1.790075E-03  6.360404E-03  3.909808E-02  2.864636E-01
   3112  2.975608056369E-05  7.626704E-02  1.790141E-03  6.360853E-03  3.910214E-02  2.865028E-01
   3113  2.977395593443E-05  7.626781E-02  1.790320E-03  6.362074E-03  3.911319E-02  2.866095E-01
   3114  2.977940461925E-05  7.626804E-02  1.790374E-03  6.362446E-03  3.911656E-02  2.866420E-01
   3115  2.978324353755E-05  7.626820E-02  1.790413E-03  6.362708E-03  3.911893E-02  2.866649E-01
   3116  2.979476679460E-05  7.626869E-02  1.790528E-03  6.363495E-03  3.912604E-02  2.867337E-01
   3117  2.980132834284E-05  7.626897E-02  1.790594E-03  6.363942E-03  3.913010E-02  2.867728E-01
   3118  2.981921276812E-05  7.626972E-02  1.790773E-03  6.365162E-03  3.914113E-02  2.868795E-01
   3119  2.982466517343E-05  7.626994E-02  1.790827E-03  6.365533E-03  3.914450E-02  2.869120E-01
   3120  2.982850569097E-05  7.627010E-02  1.790865E-03  6.365795E-03  3.914687E-02  2.869349E-01
   3121  2.984003433473E-05  7.627058E-02  1.790980E-03  6.366580E-03  3.915398E-02  2.870036E-01
   3122  2.984659917327E-05  7.627085E-02  1.791046E-03  6.367027E-03  3.915803E-02  2.870427E-01
   3123  2.986449270246E-05  7.627159E-02  1.791224E-03  6.368245E-03  3.916905E-02  2.871493E-01
   3124  2.986994884808E-05  7.627181E-02  1.791278E-03  6.368616E-03  3.917241E-02  2.871818E-01
   3125  2.987379097723E-05  7.627197E-02  1.791317E-03  6.368877E-03  3.917478E-02  2.872047E-01
   3126  2.988532503662E-05  7.627244E-02  1.791431E-03  6.369662E-03  3.918188E-02  2.872734E-01
   3127  2.989189317973E-05  7.627270E-02  1.791496E-03  6.370108E-03  3.918593E-02  2.873125E-01
   3128  2.990979586276E-05  7.627342E-02  1.791674E-03  6.371324E-03  3.919694E-02  2.874190E-01
   3129  2.991525576528E-05  7.627364E-02  1.791728E-03  6.371694E-03  3.920030E-02  2.874515E-01
   3130  2.991909951308E-05  7.627380E-02  1.791767E-03  6.371955E-03  3.920267E-02  2.874743E-01
   3131  2.993063901022E-05  7.627426E-02  1.791881E-03  6.372738E-03  3.920976E-02  2.875430E-01
   3132  2.993721046897E-05  7.627452E-02  1.791946E-03  6.373184E-03  3.921380E-02  2.875820E-01
   3133  2.995512231699E-05  7.627522E-02  1.792123E-03  6.374398E-03  3.922481E-02  2.876885E-01
   3134  2.996058598637E-05  7.627544E-02  1.792177E-03  6.374768E-03  3.922816E-02  2.877210E-01
   3135  2.996443135949E-05  7.627559E-02  1.792216E-03  6.375028E-03  3.923053E-02  2.877438E-01
   3136  2.997597631428E-05  7.627604E-02  1.792330E-03  6.375810E-03  3.923761E-02  2.878124E-01
   3137  2.998255110044E-05  7.627630E-02  1.792395E-03  6.376255E-03  3.924165E-02  2.878514E-01
   3138  3.000047214641E-05  7.627699E-02  1.792571E-03  6.377467E-03  3.925265E-02  2.879578E-01
   3139  3.000593959794E-05  7.627720E-02  1.792625E-03  6.377837E-03  3.925600E-02  2.879903E-01
   3140  3.000978660656E-05  7.627735E-02  1.792663E-03  6.378097E-03  3.925836E-02  2.880131E-01
   3141  3.002133707968E-05  7.627779E-02  1.792777E-03  6.378877E-03  3.926544E-02  2.880817E-01
   3142  3.002791521962E-05  7.627804E-02  1.792842E-03  6.379321E-03  3.926947E-02  2.881207E-01
   3143  3.004584552432E-05  7.627872E-02  1.793018E-03  6.380532E-03  3.928045E-02  2.882270E-01
   3144  3.005131677795E-05  7.627893E-02  1.793072E-03  6.380901E-03  3.928381E-02  2.882595E-01
   3145  3.005516543057E-05  7.627907E-02  1.793110E-03  6.381161E-03  3.928616E-02  2.882823E-01
   3146  3.006672139561E-05  7.627950E-02  1.793223E-03  6.381940E-03  3.929324E-02  2.883508E-01
   3147  3.007330288198E-05  7.627975E-02  1.793288E-03  6.382384E-03  3.929726E-02  2.883898E-01
   3148  3.009124247507E-05  7.628041E-02  1.793464E-03  6.383592E-03  3.930824E-02  2.884961E-01
   3149  3.009671754624E-05  7.628062E-02  1.793518E-03  6.383961E-03  3.931159E-02  2.885285E-01
   3150  3.010056785190E-05  7.628076E-02  1.793555E-03  6.384220E-03  3.931394E-02  2.885513E-01
   3151  3.011212936103E-05  7.628118E-02  1.793669E-03  6.384998E-03  3.932101E-02  2.886197E-01
   3152  3.011871421728E-05  7.628142E-02  1.793733E-03  6.385441E-03  3.932503E-02  2.886587E-01
   3153  3.013666313052E-05  7.628207E-02  1.793909E-03  6.386648E-03  3.933599E-02  2.887649E-01
   3154  3.014214203309E-05  7.628227E-02  1.793962E-03  6.387016E-03  3.933934E-02  2.887973E-01
   3155  3.014599400135E-05  7.628241E-02  1.794000E-03  6.387275E-03  3.934169E-02  2.888201E-01
   3156  3.015756107925E-05  7.628283E-02  1.794113E-03  6.388052E-03  3.934875E-02  2.888885E-01
   3157  3.016414931856E-05  7.628306E-02  1.794177E-03  6.388494E-03  3.935277E-02  2.889275E-01
   3158  3.018210758021E-05  7.628370E-02  1.794352E-03  6.389699E-03  3.936372E-02  2.890336E-01
   3159  3.018759032850E-05  7.628389E-02  1.794405E-03  6.390067E-03  3.936706E-02  2.890660E-01
   3160  3.019144396734E-05  7.628403E-02  1.794443E-03  6.390325E-03  3.936941E-02  2.890888E-01
   3161  3.020301665278E-05  7.628443E-02  1.794556E-03  6.391101E-03  3.937647E-02  2.891572E-01
   3162  3.020960829323E-05  7.628466E-02  1.794620E-03  6.391542E-03  3.938048E-02  2.891961E-01
   3163  3.022757598432E-05  7.628529E-02  1.794794E-03  6.392745E-03  3.939142E-02  2.893022E-01
   3164  3.023306260374E-05  7.628548E-02  1.794848E-03  6.393113E-03  3.939476E-02  2.893346E-01
   3165  3.023691792468E-05  7.628561E-02  1.794885E-03  6.393371E-03  3.939711E-02  2.893573E-01
   3166  3.024849624201E-05  7.628601E-02  1.794997E-03  6.394145E-03  3.940416E-02  2.894257E-01
   3167  3.025509129630E-05  7.628623E-02  1.795061E-03  6.394586E-03  3.940817E-02  2.894646E-01
   3168  3.027306841470E-05  7.628684E-02  1.795236E-03  6.395788E-03  3.941910E-02  2.895706E-01
   3169  3.027855891296E-05  7.628703E-02  1.795289E-03  6.396154E-03  3.942244E-02  2.896030E-01
   3170  3.028241592292E-05  7.628716E-02  1.795326E-03  6.396412E-03  3.942478E-02  2.896257E-01
   3171  3.029399988910E-05  7.628755E-02  1.795438E-03  6.397185E-03  3.943182E-02  2.896940E-01
   3172  3.030059836776E-05  7.628777E-02  1.795502E-03  6.397626E-03  3.943583E-02  2.897329E-01
   3173  3.031858496137E-05  7.628836E-02  1.795676E-03  6.398825E-03  3.944675E-02  2.898389E-01
   3174  3.032407935584E-05  7.628854E-02  1.795729E-03  6.399191E-03  3.945008E-02  2.898712E-01
   3175  3.032793806290E-05  7.628867E-02  1.795766E-03  6.399449E-03  3.945243E-02  2.898939E-01
   3176  3.033952770517E-05  7.628905E-02  1.795878E-03  6.400221E-03  3.945946E-02  2.899622E-01
   3177  3.034612962159E-05  7.628927E-02  1.795941E-03  6.400660E-03  3.946346E-02  2.900010E-01
   3178  3.036412574410E-05  7.628985E-02  1.796114E-03  6.401858E-03  3.947437E-02  2.901069E-01
   3179  3.036962405479E-05  7.629003E-02  1.796167E-03  6.402224E-03  3.947770E-02  2.901393E-01
   3180  3.037348447047E-05  7.629015E-02  1.796205E-03  6.402481E-03  3.948004E-02  2.901620E-01
   3181  3.038507982495E-05  7.629052E-02  1.796316E-03  6.403252E-03  3.948707E-02  2.902302E-01
   3182  3.039168519649E-05  7.629073E-02  1.796379E-03  6.403691E-03  3.949107E-02  2.902690E-01
   3183  3.040969089273E-05  7.629130E-02  1.796552E-03  6.404887E-03  3.950197E-02  2.903749E-01
   3184  3.041519313855E-05  7.629147E-02  1.796605E-03  6.405252E-03  3.950530E-02  2.904072E-01
   3185  3.041905527112E-05  7.629159E-02  1.796642E-03  6.405509E-03  3.950764E-02  2.904299E-01
   3186  3.043065635852E-05  7.629196E-02  1.796753E-03  6.406278E-03  3.951465E-02  2.904981E-01
   3187  3.043726519720E-05  7.629216E-02  1.796817E-03  6.406717E-03  3.951865E-02  2.905369E-01
   3188  3.045528048113E-05  7.629272E-02  1.796989E-03  6.407911E-03  3.952954E-02  2.906427E-01
   3189  3.046078667211E-05  7.629288E-02  1.797042E-03  6.408276E-03  3.953287E-02  2.906750E-01
   3190  3.046465053017E-05  7.629300E-02  1.797079E-03  6.408532E-03  3.953520E-02  2.906977E-01
   3191  3.047625736541E-05  7.629336E-02  1.797189E-03  6.409300E-03  3.954221E-02  2.907658E-01
   3192  3.048286967976E-05  7.629356E-02  1.797253E-03  6.409738E-03  3.954620E-02  2.908046E-01
   3193  3.050089458911E-05  7.629410E-02  1.797425E-03  6.410931E-03  3.955708E-02  2.909103E-01
   3194  3.050640474213E-05  7.629426E-02  1.797477E-03  6.411295E-03  3.956041E-02  2.909426E-01
   3195  3.051027033413E-05  7.629438E-02  1.797514E-03  6.411551E-03  3.956274E-02  2.909653E-01
   3196  3.052188295903E-05  7.629472E-02  1.797625E-03  6.412318E-03  3.956974E-02  2.910333E-01
   3197  3.052849876904E-05  7.629492E-02  1.797688E-03  6.412755E-03  3.957373E-02  2.910721E-01
   3198  3.054653335610E-05  7.629545E-02  1.797859E-03  6.413946E-03  3.958460E-02  2.911778E-01
   3199  3.055204749159E-05  7.629561E-02  1.797911E-03  6.414310E-03  3.958792E-02  2.912101E-01
   3200  3.055591482877E-05  7.629572E-02  1.797948E-03  6.414565E-03  3.959025E-02  2.912327E-01
   3201  3.056753329234E-05  7.629605E-02  1.798059E-03  6.415331E-03  3.959725E-02  2.913007E-01
   3202  3.057415262048E-05  7.629624E-02  1.798121E-03  6.415768E-03  3.960123E-02  2.913395E-01
   3203  3.059219694378E-05  7.629676E-02  1.798292E-03  6.416957E-03  3.961209E-02  2.914451E-01
   3204  3.059771508101E-05  7.629692E-02  1.798345E-03  6.417320E-03  3.961541E-02  2.914774E-01
   3205  3.060158417354E-05  7.629703E-02  1.798381E-03  6.417575E-03  3.961774E-02  2.915000E-01
   3206  3.061320847008E-05  7.629735E-02  1.798491E-03  6.418340E-03  3.962473E-02  2.915680E-01
   3207  3.061983131778E-05  7.629754E-02  1.798554E-03  6.418776E-03  3.962871E-02  2.916067E-01
   3208  3.063788539300E-05  7.629804E-02  1.798725E-03  6.419963E-03  3.963956E-02  2.917123E-01
   3209  3.064340754596E-05  7.629819E-02  1.798777E-03  6.420326E-03  3.964288E-02  2.917446E-01
   3210  3.064727840303E-05  7.629830E-02  1.798813E-03  6.420581E-03  3.964520E-02  2.917672E-01
   3211  3.065890857255E-05  7.629862E-02  1.798923E-03  6.421345E-03  3.965219E-02  2.918351E-01
   3212  3.066553495930E-05  7.629880E-02  1.798986E-03  6.421780E-03  3.965616E-02  2.918738E-01
   3213  3.068359883145E-05  7.629928E-02  1.799156E-03  6.422966E-03  3.966700E-02  2.919793E-01
   3214  3.068912501662E-05  7.629943E-02  1.799208E-03  6.423328E-03  3.967032E-02  2.920116E-01
   3215  3.069299764457E-05  7.629954E-02  1.799244E-03  6.423582E-03  3.967264E-02  2.920342E-01
   3216  3.070463372068E-05  7.629985E-02  1.799354E-03  6.424345E-03  3.967961E-02  2.921021E-01
   3217  3.071126366285E-05  7.630002E-02  1.799416E-03  6.424779E-03  3.968359E-02  2.921408E-01
   3218  3.072933739452E-05  7.630050E-02  1.799586E-03  6.425963E-03  3.969442E-02  2.922462E-01
   3219  3.073486763578E-05  7.630064E-02  1.799638E-03  6.426325E-03  3.969773E-02  2.922784E-01
   3220  3.073874204919E-05  7.630074E-02  1.799674E-03  6.426579E-03  3.970005E-02  2.923010E-01
   3221  3.075038406361E-05  7.630104E-02  1.799783E-03  6.427341E-03  3.970702E-02  2.923689E-01
   3222  3.075701757704E-05  7.630121E-02  1.799846E-03  6.427774E-03  3.971099E-02  2.924076E-01
   3223  3.077510120401E-05  7.630167E-02  1.800015E-03  6.428957E-03  3.972181E-02  2.925129E-01
   3224  3.078063551659E-05  7.630181E-02  1.800067E-03  6.429318E-03  3.972512E-02  2.925452E-01
   3225  3.078451172499E-05  7.630191E-02  1.800103E-03  6.429571E-03  3.972743E-02  2.925677E-01
   3226  3.079615971960E-05  7.630220E-02  1.800212E-03  6.430332E-03  3.973440E-02  2.926356E-01
   3227  3.080279682536E-05  7.630237E-02  1.800274E-03  6.430765E-03  3.973836E-02  2.926742E-01
   3228  3.082089041003E-05  7.630282E-02  1.800443E-03  6.431946E-03  3.974917E-02  2.927795E-01
   3229  3.082642881704E-05  7.630295E-02  1.800495E-03  6.432307E-03  3.975248E-02  2.928117E-01
   3230  3.083030682821E-05  7.630305E-02  1.800531E-03  6.432560E-03  3.975479E-02  2.928343E-01
   3231  3.084196081064E-05  7.630333E-02  1.800639E-03  6.433319E-03  3.976175E-02  2.929021E-01
   3232  3.084860151424E-05  7.630349E-02  1.800701E-03  6.433752E-03  3.976571E-02  2.929407E-01
   3233  3.086670505062E-05  7.630393E-02  1.800870E-03  6.434930E-03  3.977651E-02  2.930459E-01
   3234  3.087224755916E-05  7.630406E-02  1.800921E-03  6.435291E-03  3.977981E-02  2.930782E-01
   3235  3.087612738253E-05  7.630415E-02  1.800957E-03  6.435543E-03  3.978213E-02  2.931007E-01
   3236  3.088778738313E-05  7.630443E-02  1.801066E-03  6.436302E-03  3.978908E-02  2.931685E-01
   3237  3.089443170041E-05  7.630458E-02  1.801127E-03  6.436734E-03  3.979303E-02  2.932071E-01
   3238  3.091254525455E-05  7.630501E-02  1.801295E-03  6.437911E-03  3.980382E-02  2.933122E-01
   3239  3.091809188784E-05  7.630513E-02  1.801347E-03  6.438271E-03  3.980712E-02  2.933444E-01
   3240  3.092197353425E-05  7.630522E-02  1.801383E-03  6.438523E-03  3.980944E-02  2.933670E-01
   3241  3.093363959216E-05  7.630549E-02  1.801491E-03  6.439280E-03  3.981638E-02  2.934347E-01
   3242  3.094028754193E-05  7.630564E-02  1.801552E-03  6.439712E-03  3.982033E-02  2.934733E-01
   3243  3.095841116724E-05  7.630605E-02  1.801720E-03  6.440887E-03  3.983111E-02  2.935784E-01
   3244  3.096396194608E-05  7.630617E-02  1.801771E-03  6.441247E-03  3.983441E-02  2.936106E-01
   3245  3.096784542583E-05  7.630626E-02  1.801807E-03  6.441498E-03  3.983672E-02  2.936331E-01
   3246  3.097951756614E-05  7.630652E-02  1.801915E-03  6.442254E-03  3.984366E-02  2.937008E-01
   3247  3.098616916225E-05  7.630666E-02  1.801976E-03  6.442685E-03  3.984761E-02  2.937393E-01
   3248  3.100430288058E-05  7.630706E-02  1.802144E-03  6.443859E-03  3.985837E-02  2.938444E-01
   3249  3.100985781969E-05  7.630718E-02  1.802195E-03  6.444218E-03  3.986167E-02  2.938766E-01
   3250  3.101374314227E-05  7.630726E-02  1.802231E-03  6.444469E-03  3.986398E-02  2.938991E-01
   3251  3.102542139717E-05  7.630751E-02  1.802338E-03  6.445224E-03  3.987091E-02  2.939667E-01
   3252  3.103207665626E-05  7.630765E-02  1.802399E-03  6.445654E-03  3.987486E-02  2.940052E-01
   3253  3.105022053451E-05  7.630804E-02  1.802566E-03  6.446826E-03  3.988561E-02  2.941103E-01
   3254  3.105577965602E-05  7.630815E-02  1.802617E-03  6.447185E-03  3.988891E-02  2.941424E-01
   3255  3.105966683247E-05  7.630823E-02  1.802653E-03  6.447436E-03  3.989121E-02  2.941649E-01
   3256  3.107135124141E-05  7.630847E-02  1.802760E-03  6.448190E-03  3.989813E-02  2.942325E-01
   3257  3.107801018280E-05  7.630861E-02  1.802821E-03  6.448619E-03  3.990208E-02  2.942710E-01
   3258  3.109616428538E-05  7.630898E-02  1.802988E-03  6.449789E-03  3.991283E-02  2.943760E-01
   3259  3.110172761495E-05  7.630909E-02  1.803038E-03  6.450148E-03  3.991612E-02  2.944081E-01
   3260  3.110561665823E-05  7.630917E-02  1.803074E-03  6.450398E-03  3.991842E-02  2.944306E-01
   3261  3.111730725097E-05  7.630940E-02  1.803181E-03  6.451151E-03  3.992534E-02  2.944982E-01
   3262  3.112396988965E-05  7.630953E-02  1.803242E-03  6.451580E-03  3.992928E-02  2.945367E-01
   3263  3.114213423202E-05  7.630989E-02  1.803408E-03  6.452748E-03  3.994002E-02  2.946416E-01
   3264  3.114770178067E-05  7.631000E-02  1.803459E-03  6.453106E-03  3.994331E-02  2.946737E-01
   3265  3.115159269942E-05  7.631007E-02  1.803494E-03  6.453357E-03  3.994561E-02  2.946962E-01
   3266  3.116328952447E-05  7.631030E-02  1.803601E-03  6.454108E-03  3.995252E-02  2.947637E-01
   3267  3.116995588429E-05  7.631043E-02  1.803662E-03  6.454536E-03  3.995645E-02  2.948021E-01
   3268  3.118813052927E-05  7.631077E-02  1.803827E-03  6.455703E-03  3.996718E-02  2.949070E-01
   3269  3.119370232110E-05  7.631087E-02  1.803878E-03  6.456061E-03  3.997047E-02  2.949391E-01
   3270  3.119759512619E-05  7.631094E-02  1.803913E-03  6.456311E-03  3.997277E-02  2.949616E-01
   3271  3.120929817830E-05  7.631116E-02  1.804020E-03  6.457061E-03  3.997967E-02  2.950291E-01
   3272  3.121596826044E-05  7.631128E-02  1.804080E-03  6.457489E-03  3.998360E-02  2.950675E-01
   3273  3.123415324183E-05  7.631161E-02  1.804245E-03  6.458654E-03  3.999432E-02  2.951723E-01
   3274  3.123972929344E-05  7.631171E-02  1.804296E-03  6.459011E-03  3.999761E-02  2.952044E-01
   3275  3.124362399487E-05  7.631178E-02  1.804331E-03  6.459260E-03  3.999990E-02  2.952268E-01
   3276  3.125533332267E-05  7.631199E-02  1.804438E-03  6.460010E-03  4.000680E-02  2.952943E-01
   3277  3.126200715034E-05  7.631211E-02  1.804498E-03  6.460437E-03  4.001073E-02  2.953327E-01
   3278  3.128020252052E-05  7.631242E-02  1.804663E-03  6.461600E-03  4.002144E-02  2.954374E-01
   3279  3.128578285205E-05  7.631252E-02  1.804713E-03  6.461957E-03  4.002472E-02  2.954696E-01
   3280  3.128967945994E-05  7.631259E-02  1.804748E-03  6.462206E-03  4.002701E-02  2.954920E-01
   3281  3.130139509351E-05  7.631279E-02  1.804854E-03  6.462954E-03  4.003390E-02  2.955594E-01
   3282  3.130807268211E-05  7.631290E-02  1.804915E-03  6.463381E-03  4.003783E-02  2.955978E-01
   3283  3.132627849740E-05  7.631320E-02  1.805079E-03  6.464542E-03  4.004853E-02  2.957025E-01
   3284  3.133186313263E-05  7.631330E-02  1.805129E-03  6.464899E-03  4.005181E-02  2.957346E-01
   3285  3.133576165917E-05  7.631336E-02  1.805164E-03  6.465147E-03  4.005410E-02  2.957570E-01
   3286  3.134748365313E-05  7.631355E-02  1.805270E-03  6.465895E-03  4.006098E-02  2.958243E-01
   3287  3.135416502886E-05  7.631366E-02  1.805330E-03  6.466320E-03  4.006491E-02  2.958627E-01
   3288  3.137238134221E-05  7.631395E-02  1.805494E-03  6.467480E-03  4.007560E-02  2.959674E-01
   3289  3.137797030055E-05  7.631404E-02  1.805544E-03  6.467836E-03  4.007887E-02  2.959994E-01
   3290  3.138187075664E-05  7.631410E-02  1.805579E-03  6.468085E-03  4.008116E-02  2.960218E-01
   3291  3.139359911481E-05  7.631428E-02  1.805684E-03  6.468831E-03  4.008804E-02  2.960892E-01
   3292  3.140028428298E-05  7.631439E-02  1.805744E-03  6.469256E-03  4.009196E-02  2.961275E-01
   3293  3.141851112747E-05  7.631466E-02  1.805908E-03  6.470414E-03  4.010264E-02  2.962321E-01
   3294  3.142410442817E-05  7.631475E-02  1.805958E-03  6.470770E-03  4.010591E-02  2.962642E-01
   3295  3.142800682442E-05  7.631481E-02  1.805993E-03  6.471018E-03  4.010820E-02  2.962866E-01
   3296  3.143974160107E-05  7.631498E-02  1.806098E-03  6.471763E-03  4.011507E-02  2.963538E-01
   3297  3.144643058715E-05  7.631508E-02  1.806158E-03  6.472187E-03  4.011899E-02  2.963922E-01
   3298  3.146466800099E-05  7.631534E-02  1.806321E-03  6.473344E-03  4.012966E-02  2.964967E-01
   3299  3.147026565998E-05  7.631542E-02  1.806371E-03  6.473699E-03  4.013293E-02  2.965288E-01
   3300  3.147417000547E-05  7.631548E-02  1.806406E-03  6.473947E-03  4.013521E-02  2.965511E-01
   3301  3.148591122066E-05  7.631565E-02  1.806511E-03  6.474691E-03  4.014208E-02  2.966184E-01
   3302  3.149260403656E-05  7.631574E-02  1.806570E-03  6.475114E-03  4.014599E-02  2.966567E-01
   3303  3.151085209692E-05  7.631599E-02  1.806733E-03  6.476270E-03  4.015665E-02  2.967612E-01
   3304  3.151645414322E-05  7.631607E-02  1.806783E-03  6.476624E-03  4.015992E-02  2.967932E-01
   3305  3.152036045379E-05  7.631612E-02  1.806818E-03  6.476871E-03  4.016221E-02  2.968156E-01
   3306  3.153210815668E-05  7.631628E-02  1.806922E-03  6.477614E-03  4.016906E-02  2.968828E-01
   3307  3.153880482609E-05  7.631637E-02  1.806982E-03  6.478038E-03  4.017297E-02  2.969211E-01
   3308  3.155706356651E-05  7.631661E-02  1.807144E-03  6.479191E-03  4.018362E-02  2.970255E-01
   3309  3.156267001658E-05  7.631668E-02  1.807194E-03  6.479545E-03  4.018689E-02  2.970576E-01
   3310  3.156657829896E-05  7.631673E-02  1.807228E-03  6.479792E-03  4.018917E-02  2.970799E-01
   3311  3.157833252173E-05  7.631688E-02  1.807332E-03  6.480534E-03  4.019602E-02  2.971471E-01
   3312  3.158503306187E-05  7.631697E-02  1.807392E-03  6.480957E-03  4.019993E-02  2.971854E-01
   3313  3.160330254663E-05  7.631719E-02  1.807554E-03  6.482109E-03  4.021057E-02  2.972897E-01
   3314  3.160891342571E-05  7.631726E-02  1.807603E-03  6.482462E-03  4.021384E-02  2.973218E-01
   3315  3.161282369541E-05  7.631731E-02  1.807638E-03  6.482709E-03  4.021612E-02  2.973441E-01
   3316  3.162458447313E-05  7.631745E-02  1.807742E-03  6.483449E-03  4.022296E-02  2.974112E-01
   3317  3.163128890176E-05  7.631753E-02  1.807801E-03  6.483872E-03  4.022686E-02  2.974495E-01
   3318  3.164956918164E-05  7.631775E-02  1.807962E-03  6.485022E-03  4.023750E-02  2.975538E-01
   3319  3.165518451140E-05  7.631781E-02  1.808012E-03  6.485375E-03  4.024076E-02  2.975858E-01
   3320  3.165909677794E-05  7.631785E-02  1.808047E-03  6.485621E-03  4.024303E-02  2.976082E-01
   3321  3.167086413554E-05  7.631799E-02  1.808150E-03  6.486361E-03  4.024987E-02  2.976753E-01
   3322  3.167757246699E-05  7.631806E-02  1.808209E-03  6.486783E-03  4.025377E-02  2.977135E-01
   3323  3.169586358987E-05  7.631827E-02  1.808370E-03  6.487931E-03  4.026440E-02  2.978178E-01
