 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                ca40          ti44          cr48          fe52          ni56 
     52  1.055873918370E-10  9.004564E-04  1.125599E-05  2.103955E-06  2.606763E-07  1.549417E-08
     53  1.790525872829E-10  1.067515E-03  1.257286E-05  2.615983E-06  3.583249E-07  2.296642E-08
     54  2.530569182727E-10  1.242164E-03  1.416224E-05  3.162119E-06  4.737854E-07  3.277595E-08
     55  2.723891822102E-10  1.288893E-03  1.461164E-05  3.310954E-06  5.067751E-07  3.574895E-08
     56  2.906075365440E-10  1.333295E-03  1.504473E-05  3.453548E-06  5.389035E-07  3.871067E-08
     57  3.305686040294E-10  1.431734E-03  1.601844E-05  3.773812E-06  6.127802E-07  4.575387E-08
     58  4.113199786976E-10  1.633190E-03  1.801938E-05  4.446808E-06  7.750764E-07  6.225025E-08
     59  4.331739960389E-10  1.687823E-03  1.855380E-05  4.633176E-06  8.216396E-07  6.721815E-08
     60  4.538639031984E-10  1.739426E-03  1.905246E-05  4.810616E-06  8.666264E-07  7.211015E-08
     61  4.994568666177E-10  1.852341E-03  2.011688E-05  5.203362E-06  9.685220E-07  8.351070E-08
     62  5.924791265927E-10  2.076564E-03  2.208363E-05  5.999289E-06  1.185539E-06  1.091755E-07
     63  6.185425936609E-10  2.137304E-03  2.257461E-05  6.218052E-06  1.247894E-06  1.168802E-07
     64  6.430727198726E-10  2.193460E-03  2.301015E-05  6.421335E-06  1.306987E-06  1.243139E-07
     65  6.968852618443E-10  2.312860E-03  2.387204E-05  6.856523E-06  1.437518E-06  1.411833E-07
     66  7.432552180257E-10  2.411187E-03  2.450952E-05  7.217549E-06  1.550398E-06  1.562661E-07
     67  8.372073078406E-10  2.596278E-03  2.550598E-05  7.902395E-06  1.778016E-06  1.880782E-07
     68  8.841810430158E-10  2.681379E-03  2.586285E-05  8.219154E-06  1.890379E-06  2.044825E-07
     69  9.788789967439E-10  2.837572E-03  2.632383E-05  8.803010E-06  2.112240E-06  2.382823E-07
     70  1.028862454509E-09  2.911805E-03  2.644283E-05  9.081524E-06  2.226284E-06  2.564142E-07
     71  1.131618172749E-09  3.047231E-03  2.646277E-05  9.591467E-06  2.453088E-06  2.940979E-07
     72  1.186128639979E-09  3.110115E-03  2.637115E-05  9.829293E-06  2.568963E-06  3.142342E-07
     73  1.301833451019E-09  3.224575E-03  2.599988E-05  1.026496E-05  2.804404E-06  3.571443E-07
     74  1.362410546758E-09  3.274966E-03  2.573328E-05  1.045863E-05  2.921994E-06  3.796517E-07
     75  1.499924508232E-09  3.367781E-03  2.501258E-05  1.082139E-05  3.174964E-06  4.307569E-07
     76  1.523673103856E-09  3.381044E-03  2.487748E-05  1.087429E-05  3.216764E-06  4.395803E-07
     77  1.548407159416E-09  3.394058E-03  2.473470E-05  1.092660E-05  3.259730E-06  4.487688E-07
     78  1.618819245835E-09  3.426877E-03  2.432027E-05  1.106085E-05  3.378959E-06  4.749214E-07
     79  1.783602661002E-09  3.481930E-03  2.334142E-05  1.130072E-05  3.641265E-06  5.361319E-07
     80  1.806070460500E-09  3.487348E-03  2.321007E-05  1.132640E-05  3.675337E-06  5.444837E-07
     81  1.834257184686E-09  3.493507E-03  2.304666E-05  1.135650E-05  3.717540E-06  5.549652E-07
     82  1.894876694067E-09  3.504478E-03  2.270129E-05  1.141373E-05  3.806327E-06  5.775253E-07
     83  1.956223077554E-09  3.512646E-03  2.236161E-05  1.146204E-05  3.893547E-06  6.003884E-07
     84  2.096811856442E-09  3.521600E-03  2.162635E-05  1.154123E-05  4.084149E-06  6.529560E-07
     85  2.125293292763E-09  3.521944E-03  2.148522E-05  1.155258E-05  4.121287E-06  6.636416E-07
     86  2.147664241022E-09  3.521901E-03  2.137626E-05  1.156051E-05  4.150127E-06  6.720445E-07
     87  2.225435834200E-09  3.519741E-03  2.101041E-05  1.158175E-05  4.248200E-06  7.013299E-07
     88  2.415237247315E-09  3.503231E-03  2.019966E-05  1.159855E-05  4.474314E-06  7.733524E-07
     89  2.442583637179E-09  3.499736E-03  2.009196E-05  1.159752E-05  4.505456E-06  7.838018E-07
     90  2.473989154347E-09  3.495421E-03  1.997094E-05  1.159540E-05  4.540799E-06  7.958266E-07
     91  2.544786159009E-09  3.484599E-03  1.970821E-05  1.158726E-05  4.618875E-06  8.230324E-07
     92  2.624298262364E-09  3.470817E-03  1.942889E-05  1.157309E-05  4.704025E-06  8.537567E-07
     93  2.835869010216E-09  3.427388E-03  1.875742E-05  1.151429E-05  4.918477E-06  9.364349E-07
     94  2.867713962127E-09  3.420160E-03  1.866438E-05  1.150324E-05  4.949325E-06  9.490003E-07
     95  2.895488441437E-09  3.413733E-03  1.858476E-05  1.149320E-05  4.975940E-06  9.599859E-07
     96  2.930607443791E-09  3.405454E-03  1.848608E-05  1.148000E-05  5.009212E-06  9.739118E-07
     97  2.956830440270E-09  3.399169E-03  1.841379E-05  1.146980E-05  5.033782E-06  9.843360E-07
     98  3.102404593124E-09  3.362882E-03  1.803244E-05  1.140836E-05  5.166086E-06  1.042609E-06
     99  3.139516126598E-09  3.353313E-03  1.794020E-05  1.139154E-05  5.198741E-06  1.057575E-06
    100  3.166242764716E-09  3.346354E-03  1.787493E-05  1.137917E-05  5.221997E-06  1.068380E-06
    101  3.300036825337E-09  3.310821E-03  1.756163E-05  1.131441E-05  5.335221E-06  1.122819E-06
    102  3.395478493088E-09  3.284931E-03  1.735058E-05  1.126572E-05  5.412854E-06  1.162002E-06
    103  3.472843195480E-09  3.263723E-03  1.718628E-05  1.122500E-05  5.473947E-06  1.193974E-06
    104  3.688090852117E-09  3.204218E-03  1.675710E-05  1.110711E-05  5.635695E-06  1.283893E-06
    105  3.801951788869E-09  3.172730E-03  1.654466E-05  1.104269E-05  5.716600E-06  1.332011E-06
    106  4.143861661358E-09  3.079618E-03  1.595707E-05  1.084419E-05  5.941627E-06  1.478639E-06
    107  4.359361658383E-09  3.022867E-03  1.561999E-05  1.071722E-05  6.070608E-06  1.572558E-06
    108  4.405453174908E-09  3.010979E-03  1.555087E-05  1.069002E-05  6.096984E-06  1.592782E-06
    109  4.438071215090E-09  3.002624E-03  1.550255E-05  1.067078E-05  6.115399E-06  1.607123E-06
    110  4.573959786929E-09  2.968350E-03  1.530647E-05  1.059069E-05  6.189936E-06  1.667102E-06
    111  4.685678425559E-09  2.940852E-03  1.515134E-05  1.052507E-05  6.248648E-06  1.716685E-06
    112  5.004810173122E-09  2.865910E-03  1.473641E-05  1.033954E-05  6.404295E-06  1.859520E-06
    113  5.092002201503E-09  2.846400E-03  1.462994E-05  1.028952E-05  6.443865E-06  1.898817E-06
    114  5.168825561346E-09  2.829562E-03  1.453847E-05  1.024573E-05  6.477726E-06  1.933527E-06
    115  5.366232683558E-09  2.787814E-03  1.431322E-05  1.013459E-05  6.560578E-06  2.023050E-06
    116  5.498080528529E-09  2.761153E-03  1.417036E-05  1.006155E-05  6.612711E-06  2.083074E-06
    117  5.850428947813E-09  2.694671E-03  1.381689E-05  9.871679E-06  6.740258E-06  2.244195E-06
    118  5.949940591055E-09  2.677133E-03  1.372420E-05  9.819563E-06  6.773355E-06  2.289843E-06
    119  6.042838855202E-09  2.661243E-03  1.364040E-05  9.771543E-06  6.803153E-06  2.332499E-06
    120  6.290909439284E-09  2.621049E-03  1.342910E-05  9.646421E-06  6.877752E-06  2.446541E-06
    121  6.386847030388E-09  2.606358E-03  1.335210E-05  9.599280E-06  6.904750E-06  2.490678E-06
    122  6.477157093710E-09  2.592954E-03  1.328195E-05  9.555556E-06  6.929263E-06  2.532232E-06
    123  6.721946556922E-09  2.558639E-03  1.310276E-05  9.440279E-06  6.991515E-06  2.644849E-06
    124  6.822190317316E-09  2.545414E-03  1.303386E-05  9.394459E-06  7.015324E-06  2.690940E-06
    125  6.918812310754E-09  2.533107E-03  1.296983E-05  9.351067E-06  7.037391E-06  2.735341E-06
    126  7.186487155784E-09  2.501201E-03  1.280418E-05  9.234858E-06  7.094240E-06  2.858165E-06
    127  7.289276197629E-09  2.489773E-03  1.274499E-05  9.191805E-06  7.114488E-06  2.905240E-06
    128  7.390454154499E-09  2.478955E-03  1.268903E-05  9.150283E-06  7.133608E-06  2.951517E-06
    129  7.677450586093E-09  2.450504E-03  1.254222E-05  9.037128E-06  7.183723E-06  3.082415E-06
    130  7.784715612078E-09  2.440684E-03  1.249169E-05  8.996590E-06  7.200984E-06  3.131177E-06
    131  7.893453819735E-09  2.431162E-03  1.244278E-05  8.956466E-06  7.217718E-06  3.180511E-06
    132  8.214650104033E-09  2.405465E-03  1.231124E-05  8.843621E-06  7.262964E-06  3.325592E-06
    133  8.329239840146E-09  2.397134E-03  1.226878E-05  8.805396E-06  7.277702E-06  3.377100E-06
    134  8.452271985465E-09  2.388653E-03  1.222567E-05  8.765534E-06  7.292766E-06  3.432244E-06
    135  8.898630880934E-09  2.361679E-03  1.208955E-05  8.630991E-06  7.341449E-06  3.630831E-06
    136  9.041135063318E-09  2.354236E-03  1.205236E-05  8.591300E-06  7.355226E-06  3.693713E-06
    137  9.184579688503E-09  2.347277E-03  1.201777E-05  8.552905E-06  7.368327E-06  3.756742E-06
    138  9.600370325343E-09  2.329914E-03  1.193265E-05  8.450233E-06  7.402453E-06  3.937864E-06
    139  9.849174206703E-09  2.321366E-03  1.189166E-05  8.394738E-06  7.420511E-06  4.045082E-06
    140  1.072209106591E-08  2.300675E-03  1.179836E-05  8.232962E-06  7.473639E-06  4.414024E-06
    141  1.140811790362E-08  2.292787E-03  1.177090E-05  8.138759E-06  7.508300E-06  4.695874E-06
    142  1.322400317496E-08  2.296442E-03  1.183489E-05  8.005577E-06  7.594027E-06  5.407938E-06
    143  1.456045473986E-08  2.313671E-03  1.196485E-05  7.992489E-06  7.667960E-06  5.902959E-06
    144  1.558873749372E-08  2.331826E-03  1.209371E-05  8.019240E-06  7.737083E-06  6.269376E-06
    145  1.642229575406E-08  2.348567E-03  1.221049E-05  8.059613E-06  7.802296E-06  6.558482E-06
    146  1.851013828831E-08  2.395102E-03  1.253254E-05  8.216134E-06  8.003469E-06  7.257889E-06
    147  2.013772677396E-08  2.433644E-03  1.279964E-05  8.377735E-06  8.196391E-06  7.785481E-06
    148  2.143570539868E-08  2.464908E-03  1.301744E-05  8.523836E-06  8.370652E-06  8.199393E-06
    149  2.249913270612E-08  2.490627E-03  1.319755E-05  8.652138E-06  8.525457E-06  8.535893E-06
    150  2.316516719053E-08  2.506736E-03  1.331082E-05  8.735710E-06  8.627417E-06  8.746021E-06
    151  2.523625216776E-08  2.556677E-03  1.366423E-05  9.008072E-06  8.966120E-06  9.399358E-06
    152  2.691951996469E-08  2.597014E-03  1.395216E-05  9.240227E-06  9.262108E-06  9.933494E-06
    153  2.830569087146E-08  2.630049E-03  1.418954E-05  9.436935E-06  9.517517E-06  1.037751E-05
    154  2.918361709954E-08  2.650891E-03  1.434003E-05  9.563669E-06  9.684058E-06  1.066125E-05
    155  2.978771141272E-08  2.665199E-03  1.444364E-05  9.651733E-06  9.800622E-06  1.085779E-05
    156  3.185752910165E-08  2.714045E-03  1.479920E-05  9.958163E-06  1.021099E-05  1.154022E-05
    157  3.357619349027E-08  2.754432E-03  1.509525E-05  1.021746E-05  1.056330E-05  1.211870E-05
    158  3.468509866253E-08  2.780427E-03  1.528675E-05  1.038683E-05  1.079558E-05  1.249819E-05
    159  3.546152772048E-08  2.798605E-03  1.542109E-05  1.050632E-05  1.096040E-05  1.276695E-05
    160  3.600610671374E-08  2.811344E-03  1.551545E-05  1.059056E-05  1.107702E-05  1.295700E-05
    161  3.763493294626E-08  2.849411E-03  1.579839E-05  1.084454E-05  1.143066E-05  1.353328E-05
    162  3.878651947935E-08  2.876298E-03  1.599913E-05  1.102587E-05  1.168488E-05  1.394799E-05
    163  3.960017374034E-08  2.895287E-03  1.614133E-05  1.115485E-05  1.186652E-05  1.424473E-05
    164  4.017465643768E-08  2.908691E-03  1.624192E-05  1.124634E-05  1.199576E-05  1.445614E-05
    165  4.199151424505E-08  2.951077E-03  1.656115E-05  1.153795E-05  1.240974E-05  1.513523E-05
    166  4.330384356747E-08  2.981693E-03  1.679280E-05  1.175069E-05  1.271364E-05  1.563584E-05
    167  4.423024793489E-08  3.003310E-03  1.695689E-05  1.190193E-05  1.293060E-05  1.599443E-05
    168  4.488798918322E-08  3.018661E-03  1.707369E-05  1.200984E-05  1.308585E-05  1.625166E-05
    169  4.709747601078E-08  3.070258E-03  1.746784E-05  1.237555E-05  1.361468E-05  1.713203E-05
    170  4.863081691178E-08  3.106098E-03  1.774305E-05  1.263225E-05  1.398827E-05  1.775797E-05
    171  4.972375492791E-08  3.131665E-03  1.794008E-05  1.281669E-05  1.425785E-05  1.821173E-05
    172  5.050602084544E-08  3.149975E-03  1.808154E-05  1.294945E-05  1.445250E-05  1.854044E-05
    173  5.106624002904E-08  3.163095E-03  1.818308E-05  1.304491E-05  1.459275E-05  1.877787E-05
    174  5.280652599994E-08  3.203883E-03  1.849974E-05  1.334350E-05  1.503307E-05  1.952633E-05
    175  5.407691966080E-08  3.233693E-03  1.873210E-05  1.356344E-05  1.535894E-05  2.008321E-05
    176  5.499365209085E-08  3.255224E-03  1.890040E-05  1.372318E-05  1.559642E-05  2.049064E-05
    177  5.565154663793E-08  3.270685E-03  1.902150E-05  1.383836E-05  1.576805E-05  2.078594E-05
    178  5.788280950709E-08  3.323190E-03  1.943428E-05  1.423236E-05  1.635774E-05  2.180568E-05
    179  5.943185156396E-08  3.359702E-03  1.972271E-05  1.450895E-05  1.677406E-05  2.253040E-05
