 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
   3330  3.175172651550E-05  6.000000E+09  6.000000E+09  3.404961E+18  1.060628E+21  6.282232E+11  1.060628E+21  5.000000E-01 -2.109424E-14
   3331  3.176350715117E-05  6.000000E+09  6.000000E+09  3.404974E+18  1.060297E+21  6.282249E+11  1.060297E+21  5.000000E-01 -2.131628E-14
   3332  3.177022334768E-05  6.000000E+09  6.000000E+09  3.404981E+18  1.060114E+21  6.282259E+11  1.060114E+21  5.000000E-01 -2.176037E-14
   3333  3.178853630608E-05  6.000000E+09  6.000000E+09  3.405000E+18  1.059594E+21  6.282286E+11  1.059594E+21  5.000000E-01 -2.198242E-14
   3334  3.179416511397E-05  6.000000E+09  6.000000E+09  3.405006E+18  1.059425E+21  6.282294E+11  1.059425E+21  5.000000E-01 -2.176037E-14
   3335  3.179808344147E-05  6.000000E+09  6.000000E+09  3.405010E+18  1.059303E+21  6.282299E+11  1.059303E+21  5.000000E-01 -2.131628E-14
   3336  3.180987078004E-05  6.000000E+09  6.000000E+09  3.405023E+18  1.058972E+21  6.282316E+11  1.058972E+21  5.000000E-01 -2.131628E-14
   3337  3.181659094108E-05  6.000000E+09  6.000000E+09  3.405030E+18  1.058790E+21  6.282326E+11  1.058790E+21  5.000000E-01 -2.131628E-14
   3338  3.183491489577E-05  6.000000E+09  6.000000E+09  3.405049E+18  1.058270E+21  6.282353E+11  1.058270E+21  5.000000E-01 -2.176037E-14
   3339  3.184054824103E-05  6.000000E+09  6.000000E+09  3.405055E+18  1.058102E+21  6.282361E+11  1.058102E+21  5.000000E-01 -2.198242E-14
   3340  3.184446861339E-05  6.000000E+09  6.000000E+09  3.405060E+18  1.057980E+21  6.282366E+11  1.057980E+21  5.000000E-01 -2.220446E-14
   3341  3.185626268935E-05  6.000000E+09  6.000000E+09  3.405072E+18  1.057650E+21  6.282383E+11  1.057650E+21  5.000000E-01 -2.176037E-14
   3342  3.186298683311E-05  6.000000E+09  6.000000E+09  3.405079E+18  1.057467E+21  6.282393E+11  1.057467E+21  5.000000E-01 -2.176037E-14
   3343  3.188132183402E-05  6.000000E+09  6.000000E+09  3.405098E+18  1.056949E+21  6.282420E+11  1.056949E+21  5.000000E-01 -2.220446E-14
   3344  3.188695973780E-05  6.000000E+09  6.000000E+09  3.405104E+18  1.056780E+21  6.282428E+11  1.056780E+21  5.000000E-01 -2.220446E-14
   3345  3.189088216580E-05  6.000000E+09  6.000000E+09  3.405109E+18  1.056659E+21  6.282433E+11  1.056659E+21  5.000000E-01 -2.264855E-14
   3346  3.190268301306E-05  6.000000E+09  6.000000E+09  3.405121E+18  1.056329E+21  6.282450E+11  1.056329E+21  5.000000E-01 -2.309264E-14
   3347  3.190941115745E-05  6.000000E+09  6.000000E+09  3.405128E+18  1.056147E+21  6.282460E+11  1.056147E+21  5.000000E-01 -2.264855E-14
   3348  3.192775726932E-05  6.000000E+09  6.000000E+09  3.405148E+18  1.055629E+21  6.282487E+11  1.055629E+21  5.000000E-01 -2.353673E-14
   3349  3.193339975723E-05  6.000000E+09  6.000000E+09  3.405153E+18  1.055461E+21  6.282495E+11  1.055461E+21  5.000000E-01 -2.331468E-14
   3350  3.193732425460E-05  6.000000E+09  6.000000E+09  3.405158E+18  1.055340E+21  6.282500E+11  1.055340E+21  5.000000E-01 -2.353673E-14
   3351  3.194913189583E-05  6.000000E+09  6.000000E+09  3.405170E+18  1.055011E+21  6.282517E+11  1.055011E+21  5.000000E-01 -2.309264E-14
   3352  3.195586405402E-05  6.000000E+09  6.000000E+09  3.405177E+18  1.054829E+21  6.282527E+11  1.054829E+21  5.000000E-01 -2.264855E-14
   3353  3.197422132812E-05  6.000000E+09  6.000000E+09  3.405197E+18  1.054312E+21  6.282554E+11  1.054312E+21  5.000000E-01 -2.264855E-14
   3354  3.197986842316E-05  6.000000E+09  6.000000E+09  3.405202E+18  1.054144E+21  6.282562E+11  1.054144E+21  5.000000E-01 -2.220446E-14
   3355  3.198379500176E-05  6.000000E+09  6.000000E+09  3.405207E+18  1.054023E+21  6.282567E+11  1.054023E+21  5.000000E-01 -2.198242E-14
   3356  3.199560950894E-05  6.000000E+09  6.000000E+09  3.405219E+18  1.053695E+21  6.282584E+11  1.053695E+21  5.000000E-01 -2.220446E-14
   3357  3.200234571499E-05  6.000000E+09  6.000000E+09  3.405226E+18  1.053513E+21  6.282594E+11  1.053513E+21  5.000000E-01 -2.242651E-14
   3358  3.202071423752E-05  6.000000E+09  6.000000E+09  3.405246E+18  1.052997E+21  6.282620E+11  1.052997E+21  5.000000E-01 -2.198242E-14
   3359  3.202636596928E-05  6.000000E+09  6.000000E+09  3.405251E+18  1.052829E+21  6.282629E+11  1.052829E+21  5.000000E-01 -2.176037E-14
   3360  3.203029464370E-05  6.000000E+09  6.000000E+09  3.405256E+18  1.052708E+21  6.282634E+11  1.052708E+21  5.000000E-01 -2.176037E-14
   3361  3.204211604294E-05  6.000000E+09  6.000000E+09  3.405268E+18  1.052380E+21  6.282651E+11  1.052380E+21  5.000000E-01 -2.153833E-14
   3362  3.204885631140E-05  6.000000E+09  6.000000E+09  3.405275E+18  1.052199E+21  6.282661E+11  1.052199E+21  5.000000E-01 -2.176037E-14
   3363  3.206723611200E-05  6.000000E+09  6.000000E+09  3.405294E+18  1.051684E+21  6.282687E+11  1.051684E+21  5.000000E-01 -2.220446E-14
   3364  3.207289249923E-05  6.000000E+09  6.000000E+09  3.405300E+18  1.051517E+21  6.282695E+11  1.051517E+21  5.000000E-01 -2.242651E-14
   3365  3.207682328055E-05  6.000000E+09  6.000000E+09  3.405305E+18  1.051396E+21  6.282701E+11  1.051396E+21  5.000000E-01 -2.309264E-14
   3366  3.208865161932E-05  6.000000E+09  6.000000E+09  3.405317E+18  1.051068E+21  6.282718E+11  1.051068E+21  5.000000E-01 -2.309264E-14
   3367  3.209539597388E-05  6.000000E+09  6.000000E+09  3.405324E+18  1.050888E+21  6.282728E+11  1.050888E+21  5.000000E-01 -2.309264E-14
   3368  3.211378713356E-05  6.000000E+09  6.000000E+09  3.405343E+18  1.050373E+21  6.282754E+11  1.050373E+21  5.000000E-01 -2.353673E-14
   3369  3.211944820610E-05  6.000000E+09  6.000000E+09  3.405349E+18  1.050206E+21  6.282762E+11  1.050206E+21  5.000000E-01 -2.353673E-14
   3370  3.212338110660E-05  6.000000E+09  6.000000E+09  3.405353E+18  1.050085E+21  6.282768E+11  1.050085E+21  5.000000E-01 -2.331468E-14
   3371  3.213521639671E-05  6.000000E+09  6.000000E+09  3.405366E+18  1.049759E+21  6.282785E+11  1.049759E+21  5.000000E-01 -2.353673E-14
   3372  3.214196484644E-05  6.000000E+09  6.000000E+09  3.405373E+18  1.049578E+21  6.282795E+11  1.049578E+21  5.000000E-01 -2.398082E-14
   3373  3.216036740288E-05  6.000000E+09  6.000000E+09  3.405392E+18  1.049065E+21  6.282821E+11  1.049065E+21  5.000000E-01 -2.486900E-14
   3374  3.216603318052E-05  6.000000E+09  6.000000E+09  3.405398E+18  1.048897E+21  6.282829E+11  1.048897E+21  5.000000E-01 -2.442491E-14
   3375  3.216996821551E-05  6.000000E+09  6.000000E+09  3.405402E+18  1.048777E+21  6.282835E+11  1.048777E+21  5.000000E-01 -2.442491E-14
   3376  3.218181053095E-05  6.000000E+09  6.000000E+09  3.405415E+18  1.048451E+21  6.282852E+11  1.048451E+21  5.000000E-01 -2.420286E-14
   3377  3.218856311036E-05  6.000000E+09  6.000000E+09  3.405422E+18  1.048270E+21  6.282862E+11  1.048270E+21  5.000000E-01 -2.398082E-14
   3378  3.220697712349E-05  6.000000E+09  6.000000E+09  3.405441E+18  1.047758E+21  6.282888E+11  1.047758E+21  5.000000E-01 -2.331468E-14
   3379  3.221264763052E-05  6.000000E+09  6.000000E+09  3.405447E+18  1.047591E+21  6.282896E+11  1.047591E+21  5.000000E-01 -2.309264E-14
   3380  3.221658481213E-05  6.000000E+09  6.000000E+09  3.405451E+18  1.047471E+21  6.282902E+11  1.047471E+21  5.000000E-01 -2.309264E-14
   3381  3.222843417137E-05  6.000000E+09  6.000000E+09  3.405464E+18  1.047145E+21  6.282919E+11  1.047145E+21  5.000000E-01 -2.220446E-14
   3382  3.223519089208E-05  6.000000E+09  6.000000E+09  3.405471E+18  1.046965E+21  6.282928E+11  1.046965E+21  5.000000E-01 -2.309264E-14
   3383  3.225361642360E-05  6.000000E+09  6.000000E+09  3.405490E+18  1.046453E+21  6.282955E+11  1.046453E+21  5.000000E-01 -2.309264E-14
   3384  3.225929168597E-05  6.000000E+09  6.000000E+09  3.405496E+18  1.046287E+21  6.282963E+11  1.046287E+21  5.000000E-01 -2.353673E-14
   3385  3.226323102424E-05  6.000000E+09  6.000000E+09  3.405500E+18  1.046167E+21  6.282968E+11  1.046167E+21  5.000000E-01 -2.398082E-14
   3386  3.227508747184E-05  6.000000E+09  6.000000E+09  3.405512E+18  1.045842E+21  6.282985E+11  1.045842E+21  5.000000E-01 -2.353673E-14
   3387  3.228184835682E-05  6.000000E+09  6.000000E+09  3.405520E+18  1.045662E+21  6.282995E+11  1.045662E+21  5.000000E-01 -2.264855E-14
   3388  3.230028546278E-05  6.000000E+09  6.000000E+09  3.405539E+18  1.045151E+21  6.283022E+11  1.045151E+21  5.000000E-01 -2.264855E-14
   3389  3.230596550479E-05  6.000000E+09  6.000000E+09  3.405545E+18  1.044985E+21  6.283030E+11  1.044985E+21  5.000000E-01 -2.264855E-14
   3390  3.230990701595E-05  6.000000E+09  6.000000E+09  3.405549E+18  1.044865E+21  6.283035E+11  1.044865E+21  5.000000E-01 -2.242651E-14
   3391  3.232177060781E-05  6.000000E+09  6.000000E+09  3.405561E+18  1.044540E+21  6.283052E+11  1.044540E+21  5.000000E-01 -2.264855E-14
   3392  3.232853568462E-05  6.000000E+09  6.000000E+09  3.405568E+18  1.044361E+21  6.283062E+11  1.044361E+21  5.000000E-01 -2.220446E-14
   3393  3.234698443287E-05  6.000000E+09  6.000000E+09  3.405588E+18  1.043850E+21  6.283088E+11  1.043850E+21  5.000000E-01 -2.242651E-14
   3394  3.235266928176E-05  6.000000E+09  6.000000E+09  3.405594E+18  1.043684E+21  6.283096E+11  1.043684E+21  5.000000E-01 -2.220446E-14
   3395  3.235661297902E-05  6.000000E+09  6.000000E+09  3.405598E+18  1.043565E+21  6.283102E+11  1.043565E+21  5.000000E-01 -2.198242E-14
   3396  3.236848373871E-05  6.000000E+09  6.000000E+09  3.405610E+18  1.043241E+21  6.283119E+11  1.043241E+21  5.000000E-01 -2.153833E-14
   3397  3.237525302167E-05  6.000000E+09  6.000000E+09  3.405617E+18  1.043061E+21  6.283129E+11  1.043061E+21  5.000000E-01 -2.153833E-14
   3398  3.239371347075E-05  6.000000E+09  6.000000E+09  3.405636E+18  1.042552E+21  6.283155E+11  1.042552E+21  5.000000E-01 -2.153833E-14
   3399  3.239940315132E-05  6.000000E+09  6.000000E+09  3.405642E+18  1.042386E+21  6.283163E+11  1.042386E+21  5.000000E-01 -2.109424E-14
   3400  3.240334904769E-05  6.000000E+09  6.000000E+09  3.405646E+18  1.042267E+21  6.283169E+11  1.042267E+21  5.000000E-01 -2.087219E-14
   3401  3.241522701668E-05  6.000000E+09  6.000000E+09  3.405659E+18  1.041943E+21  6.283186E+11  1.041943E+21  5.000000E-01 -2.109424E-14
   3402  3.242200052651E-05  6.000000E+09  6.000000E+09  3.405666E+18  1.041764E+21  6.283195E+11  1.041764E+21  5.000000E-01 -2.109424E-14
   3403  3.244047273089E-05  6.000000E+09  6.000000E+09  3.405685E+18  1.041256E+21  6.283222E+11  1.041256E+21  5.000000E-01 -2.109424E-14
   3404  3.244616726829E-05  6.000000E+09  6.000000E+09  3.405691E+18  1.041090E+21  6.283230E+11  1.041090E+21  5.000000E-01 -2.087219E-14
   3405  3.245011537829E-05  6.000000E+09  6.000000E+09  3.405695E+18  1.040971E+21  6.283236E+11  1.040971E+21  5.000000E-01 -2.087219E-14
   3406  3.246200062339E-05  6.000000E+09  6.000000E+09  3.405707E+18  1.040648E+21  6.283252E+11  1.040648E+21  5.000000E-01 -2.087219E-14
   3407  3.246877839279E-05  6.000000E+09  6.000000E+09  3.405715E+18  1.040469E+21  6.283262E+11  1.040469E+21  5.000000E-01 -2.042810E-14
   3408  3.248726244645E-05  6.000000E+09  6.000000E+09  3.405734E+18  1.039962E+21  6.283289E+11  1.039962E+21  5.000000E-01 -1.998401E-14
   3409  3.249296187546E-05  6.000000E+09  6.000000E+09  3.405740E+18  1.039796E+21  6.283297E+11  1.039796E+21  5.000000E-01 -1.953993E-14
   3410  3.249691221490E-05  6.000000E+09  6.000000E+09  3.405744E+18  1.039677E+21  6.283302E+11  1.039677E+21  5.000000E-01 -1.976197E-14
   3411  3.250880476600E-05  6.000000E+09  6.000000E+09  3.405756E+18  1.039355E+21  6.283319E+11  1.039355E+21  5.000000E-01 -2.020606E-14
   3412  3.251558681138E-05  6.000000E+09  6.000000E+09  3.405763E+18  1.039176E+21  6.283329E+11  1.039176E+21  5.000000E-01 -1.998401E-14
   3413  3.253408275777E-05  6.000000E+09  6.000000E+09  3.405782E+18  1.038669E+21  6.283355E+11  1.038669E+21  5.000000E-01 -2.042810E-14
   3414  3.253978709835E-05  6.000000E+09  6.000000E+09  3.405788E+18  1.038504E+21  6.283363E+11  1.038504E+21  5.000000E-01 -2.109424E-14
   3415  3.254373967997E-05  6.000000E+09  6.000000E+09  3.405792E+18  1.038385E+21  6.283369E+11  1.038385E+21  5.000000E-01 -2.087219E-14
   3416  3.255563957700E-05  6.000000E+09  6.000000E+09  3.405805E+18  1.038063E+21  6.283386E+11  1.038063E+21  5.000000E-01 -2.065015E-14
   3417  3.256242591976E-05  6.000000E+09  6.000000E+09  3.405812E+18  1.037885E+21  6.283396E+11  1.037885E+21  5.000000E-01 -2.087219E-14
   3418  3.258093380259E-05  6.000000E+09  6.000000E+09  3.405831E+18  1.037379E+21  6.283422E+11  1.037379E+21  5.000000E-01 -2.109424E-14
   3419  3.258664307811E-05  6.000000E+09  6.000000E+09  3.405837E+18  1.037214E+21  6.283430E+11  1.037214E+21  5.000000E-01 -2.087219E-14
   3420  3.259059791180E-05  6.000000E+09  6.000000E+09  3.405841E+18  1.037095E+21  6.283436E+11  1.037095E+21  5.000000E-01 -2.131628E-14
   3421  3.260250520321E-05  6.000000E+09  6.000000E+09  3.405853E+18  1.036774E+21  6.283453E+11  1.036774E+21  5.000000E-01 -2.153833E-14
   3422  3.260929586785E-05  6.000000E+09  6.000000E+09  3.405860E+18  1.036596E+21  6.283462E+11  1.036596E+21  5.000000E-01 -2.176037E-14
   3423  3.262781577835E-05  6.000000E+09  6.000000E+09  3.405880E+18  1.036091E+21  6.283489E+11  1.036091E+21  5.000000E-01 -2.242651E-14
   3424  3.263353002258E-05  6.000000E+09  6.000000E+09  3.405886E+18  1.035926E+21  6.283497E+11  1.035926E+21  5.000000E-01 -2.176037E-14
   3425  3.263748712674E-05  6.000000E+09  6.000000E+09  3.405890E+18  1.035808E+21  6.283502E+11  1.035808E+21  5.000000E-01 -2.198242E-14
   3426  3.264940185207E-05  6.000000E+09  6.000000E+09  3.405902E+18  1.035487E+21  6.283519E+11  1.035487E+21  5.000000E-01 -2.220446E-14
   3427  3.265619685991E-05  6.000000E+09  6.000000E+09  3.405909E+18  1.035309E+21  6.283529E+11  1.035309E+21  5.000000E-01 -2.220446E-14
   3428  3.267472885189E-05  6.000000E+09  6.000000E+09  3.405928E+18  1.034805E+21  6.283555E+11  1.034805E+21  5.000000E-01 -2.153833E-14
   3429  3.268044808980E-05  6.000000E+09  6.000000E+09  3.405934E+18  1.034640E+21  6.283563E+11  1.034640E+21  5.000000E-01 -2.153833E-14
   3430  3.268440747636E-05  6.000000E+09  6.000000E+09  3.405938E+18  1.034522E+21  6.283569E+11  1.034522E+21  5.000000E-01 -2.176037E-14
   3431  3.269632967385E-05  6.000000E+09  6.000000E+09  3.405951E+18  1.034202E+21  6.283586E+11  1.034202E+21  5.000000E-01 -2.109424E-14
   3432  3.270312904491E-05  6.000000E+09  6.000000E+09  3.405958E+18  1.034024E+21  6.283595E+11  1.034024E+21  5.000000E-01 -2.087219E-14
   3433  3.272167317989E-05  6.000000E+09  6.000000E+09  3.405977E+18  1.033521E+21  6.283622E+11  1.033521E+21  5.000000E-01 -2.087219E-14
   3434  3.272739743882E-05  6.000000E+09  6.000000E+09  3.405983E+18  1.033356E+21  6.283630E+11  1.033356E+21  5.000000E-01 -2.131628E-14
   3435  3.273135912659E-05  6.000000E+09  6.000000E+09  3.405987E+18  1.033238E+21  6.283636E+11  1.033238E+21  5.000000E-01 -2.131628E-14
   3436  3.274328889878E-05  6.000000E+09  6.000000E+09  3.405999E+18  1.032918E+21  6.283652E+11  1.032918E+21  5.000000E-01 -2.109424E-14
   3437  3.275009268145E-05  6.000000E+09  6.000000E+09  3.406006E+18  1.032741E+21  6.283662E+11  1.032741E+21  5.000000E-01 -2.176037E-14
   3438  3.276864909656E-05  6.000000E+09  6.000000E+09  3.406025E+18  1.032239E+21  6.283688E+11  1.032239E+21  5.000000E-01 -2.176037E-14
   3439  3.277437842239E-05  6.000000E+09  6.000000E+09  3.406031E+18  1.032074E+21  6.283697E+11  1.032074E+21  5.000000E-01 -2.131628E-14
   3440  3.277834242851E-05  6.000000E+09  6.000000E+09  3.406035E+18  1.031956E+21  6.283702E+11  1.031956E+21  5.000000E-01 -2.131628E-14
   3441  3.279027976946E-05  6.000000E+09  6.000000E+09  3.406048E+18  1.031637E+21  6.283719E+11  1.031637E+21  5.000000E-01 -2.153833E-14
   3442  3.279708796528E-05  6.000000E+09  6.000000E+09  3.406055E+18  1.031461E+21  6.283729E+11  1.031461E+21  5.000000E-01 -2.131628E-14
   3443  3.281565664138E-05  6.000000E+09  6.000000E+09  3.406074E+18  1.030958E+21  6.283755E+11  1.030958E+21  5.000000E-01 -2.042810E-14
   3444  3.282139104001E-05  6.000000E+09  6.000000E+09  3.406080E+18  1.030795E+21  6.283763E+11  1.030795E+21  5.000000E-01 -1.998401E-14
   3445  3.282535737129E-05  6.000000E+09  6.000000E+09  3.406084E+18  1.030677E+21  6.283769E+11  1.030677E+21  5.000000E-01 -1.976197E-14
   3446  3.283730233352E-05  6.000000E+09  6.000000E+09  3.406096E+18  1.030358E+21  6.283786E+11  1.030358E+21  5.000000E-01 -2.042810E-14
   3447  3.284411496919E-05  6.000000E+09  6.000000E+09  3.406103E+18  1.030182E+21  6.283795E+11  1.030182E+21  5.000000E-01 -2.065015E-14
   3448  3.286269601650E-05  6.000000E+09  6.000000E+09  3.406122E+18  1.029680E+21  6.283822E+11  1.029680E+21  5.000000E-01 -2.087219E-14
   3449  3.286843552797E-05  6.000000E+09  6.000000E+09  3.406128E+18  1.029517E+21  6.283830E+11  1.029517E+21  5.000000E-01 -2.065015E-14
   3450  3.287240420514E-05  6.000000E+09  6.000000E+09  3.406132E+18  1.029399E+21  6.283835E+11  1.029399E+21  5.000000E-01 -2.109424E-14
   3451  3.288435685072E-05  6.000000E+09  6.000000E+09  3.406145E+18  1.029081E+21  6.283852E+11  1.029081E+21  5.000000E-01 -2.087219E-14
   3452  3.289117395664E-05  6.000000E+09  6.000000E+09  3.406152E+18  1.028904E+21  6.283862E+11  1.028904E+21  5.000000E-01 -2.087219E-14
   3453  3.290976747185E-05  6.000000E+09  6.000000E+09  3.406171E+18  1.028404E+21  6.283888E+11  1.028404E+21  5.000000E-01 -2.131628E-14
   3454  3.291551213271E-05  6.000000E+09  6.000000E+09  3.406177E+18  1.028241E+21  6.283896E+11  1.028241E+21  5.000000E-01 -2.153833E-14
   3455  3.291948317265E-05  6.000000E+09  6.000000E+09  3.406181E+18  1.028123E+21  6.283902E+11  1.028123E+21  5.000000E-01 -2.176037E-14
   3456  3.293144355837E-05  6.000000E+09  6.000000E+09  3.406193E+18  1.027805E+21  6.283919E+11  1.027805E+21  5.000000E-01 -2.176037E-14
   3457  3.293826516387E-05  6.000000E+09  6.000000E+09  3.406200E+18  1.027629E+21  6.283928E+11  1.027629E+21  5.000000E-01 -2.242651E-14
   3458  3.295687119681E-05  6.000000E+09  6.000000E+09  3.406219E+18  1.027130E+21  6.283955E+11  1.027130E+21  5.000000E-01 -2.264855E-14
   3459  3.296262103270E-05  6.000000E+09  6.000000E+09  3.406225E+18  1.026966E+21  6.283963E+11  1.026966E+21  5.000000E-01 -2.242651E-14
   3460  3.296659445082E-05  6.000000E+09  6.000000E+09  3.406229E+18  1.026849E+21  6.283968E+11  1.026849E+21  5.000000E-01 -2.242651E-14
   3461  3.297856260596E-05  6.000000E+09  6.000000E+09  3.406241E+18  1.026532E+21  6.283985E+11  1.026532E+21  5.000000E-01 -2.331468E-14
   3462  3.298538872781E-05  6.000000E+09  6.000000E+09  3.406248E+18  1.026356E+21  6.283995E+11  1.026356E+21  5.000000E-01 -2.264855E-14
   3463  3.300400731053E-05  6.000000E+09  6.000000E+09  3.406267E+18  1.025857E+21  6.284021E+11  1.025857E+21  5.000000E-01 -2.331468E-14
   3464  3.300976234065E-05  6.000000E+09  6.000000E+09  3.406273E+18  1.025694E+21  6.284029E+11  1.025694E+21  5.000000E-01 -2.309264E-14
   3465  3.301373814669E-05  6.000000E+09  6.000000E+09  3.406277E+18  1.025577E+21  6.284035E+11  1.025577E+21  5.000000E-01 -2.331468E-14
   3466  3.302571412362E-05  6.000000E+09  6.000000E+09  3.406290E+18  1.025260E+21  6.284052E+11  1.025260E+21  5.000000E-01 -2.287059E-14
   3467  3.303254478897E-05  6.000000E+09  6.000000E+09  3.406297E+18  1.025085E+21  6.284061E+11  1.025085E+21  5.000000E-01 -2.309264E-14
   3468  3.305117602753E-05  6.000000E+09  6.000000E+09  3.406316E+18  1.024587E+21  6.284088E+11  1.024587E+21  5.000000E-01 -2.309264E-14
   3469  3.305693629106E-05  6.000000E+09  6.000000E+09  3.406322E+18  1.024424E+21  6.284096E+11  1.024424E+21  5.000000E-01 -2.309264E-14
   3470  3.306091450433E-05  6.000000E+09  6.000000E+09  3.406326E+18  1.024307E+21  6.284101E+11  1.024307E+21  5.000000E-01 -2.309264E-14
   3471  3.307289835176E-05  6.000000E+09  6.000000E+09  3.406338E+18  1.023991E+21  6.284118E+11  1.023991E+21  5.000000E-01 -2.331468E-14
   3472  3.307973358517E-05  6.000000E+09  6.000000E+09  3.406345E+18  1.023816E+21  6.284128E+11  1.023816E+21  5.000000E-01 -2.264855E-14
   3473  3.309837754613E-05  6.000000E+09  6.000000E+09  3.406364E+18  1.023318E+21  6.284154E+11  1.023318E+21  5.000000E-01 -2.309264E-14
   3474  3.310414307294E-05  6.000000E+09  6.000000E+09  3.406370E+18  1.023156E+21  6.284162E+11  1.023156E+21  5.000000E-01 -2.398082E-14
   3475  3.310812371066E-05  6.000000E+09  6.000000E+09  3.406374E+18  1.023039E+21  6.284168E+11  1.023039E+21  5.000000E-01 -2.309264E-14
   3476  3.312011550047E-05  6.000000E+09  6.000000E+09  3.406386E+18  1.022723E+21  6.284185E+11  1.022723E+21  5.000000E-01 -2.375877E-14
   3477  3.312695533809E-05  6.000000E+09  6.000000E+09  3.406393E+18  1.022549E+21  6.284194E+11  1.022549E+21  5.000000E-01 -2.353673E-14
   3478  3.314561212867E-05  6.000000E+09  6.000000E+09  3.406412E+18  1.022052E+21  6.284221E+11  1.022052E+21  5.000000E-01 -2.353673E-14
   3479  3.315138295886E-05  6.000000E+09  6.000000E+09  3.406418E+18  1.021890E+21  6.284229E+11  1.021890E+21  5.000000E-01 -2.353673E-14
   3480  3.315536603853E-05  6.000000E+09  6.000000E+09  3.406422E+18  1.021773E+21  6.284234E+11  1.021773E+21  5.000000E-01 -2.353673E-14
   3481  3.316736580260E-05  6.000000E+09  6.000000E+09  3.406435E+18  1.021458E+21  6.284251E+11  1.021458E+21  5.000000E-01 -2.287059E-14
   3482  3.317421026245E-05  6.000000E+09  6.000000E+09  3.406442E+18  1.021283E+21  6.284261E+11  1.021283E+21  5.000000E-01 -2.309264E-14
   3483  3.319287993147E-05  6.000000E+09  6.000000E+09  3.406461E+18  1.020787E+21  6.284287E+11  1.020787E+21  5.000000E-01 -2.375877E-14
   3484  3.319865608972E-05  6.000000E+09  6.000000E+09  3.406467E+18  1.020625E+21  6.284295E+11  1.020625E+21  5.000000E-01 -2.353673E-14
   3485  3.320264162736E-05  6.000000E+09  6.000000E+09  3.406471E+18  1.020509E+21  6.284301E+11  1.020509E+21  5.000000E-01 -2.353673E-14
   3486  3.321464944683E-05  6.000000E+09  6.000000E+09  3.406483E+18  1.020194E+21  6.284318E+11  1.020194E+21  5.000000E-01 -2.375877E-14
   3487  3.322149856847E-05  6.000000E+09  6.000000E+09  3.406490E+18  1.020020E+21  6.284327E+11  1.020020E+21  5.000000E-01 -2.398082E-14
   3488  3.324018121220E-05  6.000000E+09  6.000000E+09  3.406509E+18  1.019524E+21  6.284354E+11  1.019524E+21  5.000000E-01 -2.420286E-14
   3489  3.324596273688E-05  6.000000E+09  6.000000E+09  3.406515E+18  1.019363E+21  6.284362E+11  1.019363E+21  5.000000E-01 -2.442491E-14
   3490  3.324995074916E-05  6.000000E+09  6.000000E+09  3.406519E+18  1.019246E+21  6.284367E+11  1.019246E+21  5.000000E-01 -2.375877E-14
   3491  3.326196664106E-05  6.000000E+09  6.000000E+09  3.406531E+18  1.018932E+21  6.284384E+11  1.018932E+21  5.000000E-01 -2.375877E-14
   3492  3.326882043669E-05  6.000000E+09  6.000000E+09  3.406538E+18  1.018758E+21  6.284394E+11  1.018758E+21  5.000000E-01 -2.353673E-14
   3493  3.328751610107E-05  6.000000E+09  6.000000E+09  3.406557E+18  1.018264E+21  6.284420E+11  1.018264E+21  5.000000E-01 -2.398082E-14
   3494  3.329330301644E-05  6.000000E+09  6.000000E+09  3.406563E+18  1.018102E+21  6.284428E+11  1.018102E+21  5.000000E-01 -2.464695E-14
   3495  3.329729351895E-05  6.000000E+09  6.000000E+09  3.406567E+18  1.017986E+21  6.284434E+11  1.017986E+21  5.000000E-01 -2.442491E-14
   3496  3.330931755877E-05  6.000000E+09  6.000000E+09  3.406579E+18  1.017672E+21  6.284451E+11  1.017672E+21  5.000000E-01 -2.464695E-14
   3497  3.331617606558E-05  6.000000E+09  6.000000E+09  3.406586E+18  1.017498E+21  6.284460E+11  1.017498E+21  5.000000E-01 -2.442491E-14
   3498  3.333488487691E-05  6.000000E+09  6.000000E+09  3.406605E+18  1.017005E+21  6.284486E+11  1.017005E+21  5.000000E-01 -2.420286E-14
   3499  3.334067722871E-05  6.000000E+09  6.000000E+09  3.406611E+18  1.016843E+21  6.284494E+11  1.016843E+21  5.000000E-01 -2.442491E-14
   3500  3.334467024212E-05  6.000000E+09  6.000000E+09  3.406615E+18  1.016727E+21  6.284500E+11  1.016727E+21  5.000000E-01 -2.420286E-14
   3501  3.335670248950E-05  6.000000E+09  6.000000E+09  3.406628E+18  1.016414E+21  6.284517E+11  1.016414E+21  5.000000E-01 -2.486900E-14
   3502  3.336356573773E-05  6.000000E+09  6.000000E+09  3.406635E+18  1.016240E+21  6.284527E+11  1.016240E+21  5.000000E-01 -2.553513E-14
   3503  3.338228775517E-05  6.000000E+09  6.000000E+09  3.406654E+18  1.015747E+21  6.284553E+11  1.015747E+21  5.000000E-01 -2.553513E-14
   3504  3.338808557215E-05  6.000000E+09  6.000000E+09  3.406659E+18  1.015586E+21  6.284561E+11  1.015586E+21  5.000000E-01 -2.509104E-14
   3505  3.339208111221E-05  6.000000E+09  6.000000E+09  3.406664E+18  1.015470E+21  6.284566E+11  1.015470E+21  5.000000E-01 -2.531308E-14
