 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
     41  5.924527420508E-13  6.000000E+09  6.000000E+09  2.840693E+18  1.936632E+29  6.011459E+11  1.936632E+29  5.000000E-01  0.000000E+00
     42  9.497472795872E-13  6.000000E+09  6.000000E+09  2.903569E+18  1.584357E+29  6.029643E+11  1.584357E+29  5.000000E-01  0.000000E+00
     43  1.705660054148E-12  6.000000E+09  6.000000E+09  2.998107E+18  9.568034E+28  6.063719E+11  9.568034E+28  5.000000E-01 -6.661338E-16
     44  2.776220950995E-12  6.000000E+09  6.000000E+09  3.070421E+18  4.573380E+28  6.097406E+11  4.573380E+28  5.000000E-01  1.110223E-16
     45  5.132479398787E-12  6.000000E+09  6.000000E+09  3.125247E+18  1.006506E+28  6.129483E+11  1.006506E+28  5.000000E-01 -8.881784E-16
     46  8.128759522623E-12  6.000000E+09  6.000000E+09  3.139481E+18  1.878364E+27  6.138685E+11  1.878364E+27  5.000000E-01 -1.110223E-15
     47  1.423927198868E-11  6.000000E+09  6.000000E+09  3.143892E+18  3.136712E+26  6.140925E+11  3.136712E+26  5.000000E-01 -1.110223E-15
     48  2.089769464950E-11  6.000000E+09  6.000000E+09  3.145542E+18  2.113812E+26  6.141287E+11  2.113812E+26  5.000000E-01 -1.332268E-15
     49  2.939128347641E-11  6.000000E+09  6.000000E+09  3.147177E+18  1.793268E+26  6.141502E+11  1.793268E+26  5.000000E-01 -1.110223E-15
     50  5.080904399118E-11  6.000000E+09  6.000000E+09  3.150711E+18  1.562007E+26  6.141792E+11  1.562007E+26  5.000000E-01 -2.220446E-15
     51  7.462414108269E-11  6.000000E+09  6.000000E+09  3.154329E+18  1.489546E+26  6.142038E+11  1.489546E+26  5.000000E-01 -2.442491E-15
     52  1.055873918370E-10  6.000000E+09  6.000000E+09  3.158896E+18  1.469513E+26  6.142394E+11  1.469513E+26  5.000000E-01 -2.664535E-15
     53  1.790525872829E-10  6.000000E+09  6.000000E+09  3.169885E+18  1.535034E+26  6.143693E+11  1.535034E+26  5.000000E-01 -2.664535E-15
     54  2.530569182727E-10  6.000000E+09  6.000000E+09  3.181525E+18  1.601105E+26  6.145732E+11  1.601105E+26  5.000000E-01 -3.330669E-15
     55  2.723891822102E-10  6.000000E+09  6.000000E+09  3.184627E+18  1.607052E+26  6.146366E+11  1.607052E+26  5.000000E-01 -3.996803E-15
     56  2.906075365440E-10  6.000000E+09  6.000000E+09  3.187556E+18  1.607765E+26  6.146993E+11  1.607765E+26  5.000000E-01 -3.552714E-15
     57  3.305686040294E-10  6.000000E+09  6.000000E+09  3.193960E+18  1.593538E+26  6.148451E+11  1.593538E+26  5.000000E-01 -3.774758E-15
     58  4.113199786976E-10  6.000000E+09  6.000000E+09  3.206536E+18  1.511239E+26  6.151604E+11  1.511239E+26  5.000000E-01 -4.662937E-15
     59  4.331739960389E-10  6.000000E+09  6.000000E+09  3.209805E+18  1.480099E+26  6.152478E+11  1.480099E+26  5.000000E-01 -4.662937E-15
     60  4.538639031984E-10  6.000000E+09  6.000000E+09  3.212835E+18  1.448261E+26  6.153305E+11  1.448261E+26  5.000000E-01 -4.440892E-15
     61  4.994568666177E-10  6.000000E+09  6.000000E+09  3.219267E+18  1.372359E+26  6.155117E+11  1.372359E+26  5.000000E-01 -4.218847E-15
     62  5.924791265927E-10  6.000000E+09  6.000000E+09  3.231269E+18  1.207142E+26  6.158680E+11  1.207142E+26  5.000000E-01 -4.218847E-15
     63  6.185425936609E-10  6.000000E+09  6.000000E+09  3.234355E+18  1.160936E+26  6.159633E+11  1.160936E+26  5.000000E-01 -4.440892E-15
     64  6.430727198726E-10  6.000000E+09  6.000000E+09  3.237150E+18  1.118096E+26  6.160509E+11  1.118096E+26  5.000000E-01 -4.218847E-15
     65  6.968852618443E-10  6.000000E+09  6.000000E+09  3.242920E+18  1.027269E+26  6.162353E+11  1.027269E+26  5.000000E-01 -3.774758E-15
     66  7.432552180257E-10  6.000000E+09  6.000000E+09  3.247510E+18  9.533068E+25  6.163856E+11  9.533068E+25  5.000000E-01 -3.108624E-15
     67  8.372073078406E-10  6.000000E+09  6.000000E+09  3.255813E+18  8.174384E+25  6.166654E+11  8.174384E+25  5.000000E-01 -3.552714E-15
     68  8.841810430158E-10  6.000000E+09  6.000000E+09  3.259509E+18  7.567177E+25  6.167932E+11  7.567177E+25  5.000000E-01 -3.774758E-15
     69  9.788789967439E-10  6.000000E+09  6.000000E+09  3.266147E+18  6.482653E+25  6.170278E+11  6.482653E+25  5.000000E-01 -3.774758E-15
     70  1.028862454509E-09  6.000000E+09  6.000000E+09  3.269260E+18  5.980056E+25  6.171400E+11  5.980056E+25  5.000000E-01 -3.996803E-15
     71  1.131618172749E-09  6.000000E+09  6.000000E+09  3.274928E+18  5.080684E+25  6.173481E+11  5.080684E+25  5.000000E-01 -3.774758E-15
     72  1.186128639979E-09  6.000000E+09  6.000000E+09  3.277583E+18  4.668489E+25  6.174473E+11  4.668489E+25  5.000000E-01 -4.440892E-15
     73  1.301833451019E-09  6.000000E+09  6.000000E+09  3.282536E+18  3.919544E+25  6.176350E+11  3.919544E+25  5.000000E-01 -3.996803E-15
     74  1.362410546758E-09  6.000000E+09  6.000000E+09  3.284808E+18  3.586306E+25  6.177223E+11  3.586306E+25  5.000000E-01 -4.218847E-15
     75  1.499924508232E-09  6.000000E+09  6.000000E+09  3.289285E+18  2.952078E+25  6.178965E+11  2.952078E+25  5.000000E-01 -4.440892E-15
     76  1.523673103856E-09  6.000000E+09  6.000000E+09  3.289975E+18  2.857373E+25  6.179235E+11  2.857373E+25  5.000000E-01 -4.662937E-15
     77  1.548407159416E-09  6.000000E+09  6.000000E+09  3.290670E+18  2.762833E+25  6.179509E+11  2.762833E+25  5.000000E-01 -4.440892E-15
